REGISTRO_ANCINE;RAZAO_SOCIAL;ATIVIDADE_PRINCIPAL;DATA_REGISTRO;REPRESENTANTE;REGISTRO_REPRESENTANTE;CNPJ_REPRESENTANTE;DATA_INICIO_REPRESENTACAO;DATA_FINAL_REPRESENTACAO
22398;A&E BRAZIL DISTRIBUTION, LLC;Programadoras;18/09/2012;A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.;22341;15.777.407/0001-05;01/11/2022;01/11/2025
64162;AMC CONTENT DISTRIBUTION LLC;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;29/01/2026;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;25/11/2024;25/11/2029
6268;AMC NETWORKS ARGENTINA S.C.A.;Programadoras;11/03/2003;AMC NETWORKS SERVIÇOS DE TELEVISÃO DO BRASIL LTDA;22461;15.777.180/0001-90;11/12/2012;INDETERMINADO
6211;AMC NETWORKS LATIN AMERICA LLC;Programadoras;28/04/2003;AMC NETWORKS SERVIÇOS DE TELEVISÃO DO BRASIL LTDA;22461;15.777.180/0001-90;11/12/2012;INDETERMINADO
48174;"AMX CONTENIDO ""SOCIEDADEANÓNIMA DE CAPITAL VARIABLE"" S.A DE C.V";Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;14/04/2021;BITELLI ADVOGADOS;1146;60.534.294/0001-63;13/11/2020;INDETERMINADO
48024;ARGOS FILMS;Distribuição cinematográfica, de vídeo e de programas de televisão;25/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/03/2021;01/03/2031
23042;BAC FILMS DISTRIBUTION S.A.S.U.;Distribuição cinematográfica, de vídeo e de programas de televisão;08/01/2013;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;13/05/2019;13/05/2024
48256;BE FOR FILMS;Distribuição cinematográfica, de vídeo e de programas de televisão;26/04/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;14/01/2021;13/01/2031
48089;BEST FRIEND FOREVER SPRL;Distribuição cinematográfica, de vídeo e de programas de televisão;06/04/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;01/04/2021;31/03/2022
46743;BETA CINEMA GMBH;;25/09/2020;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;28/01/2020;27/01/2030
6227;BLOOMBERG L.P.;Programadoras;16/10/2003;BLOOMBERG DO BRASIL COMÉRCIO E SERVIÇOS LTDA.;1614;74.232.679/0001-80;13/09/2012;INDETERMINADO
6261;BRASIL DISTRIBUTION, L.L.C.;Distribuição cinematográfica, de vídeo e de programas de televisão;28/08/2003;TOPSPORTS VENTURES LTDA.;12248;03.390.444/0001-79;01/01/2024;INDETERMINADO
6222;BUENA VISTA INTERNATIONAL, INC;Distribuidora para cinema;14/01/2003;ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.;653;00.637.277/0001-20;02/09/2012;INDETERMINADO
56446;CANVID MEDIA INC;;17/11/2023;BITELLI FILMS LTDA;52026;47.721.628/0001-40;15/10/2022;INDETERMINADO
62348;CELEBRITIES MANAGEMENT PRIVATE LIMITED;Programadoras;24/06/2025;INTERACTV SERVIÇOS DE TV E MÍDIA LTDA.;3023;07.085.868/0001-80;25/01/2025;INDETERMINADO
22516;CITÉ FILMS;Distribuição cinematográfica, de vídeo e de programas de televisão;03/10/2012;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/03/2021;02/03/2031
12405;CLARO VIDEO, LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;17/05/2007;BITELLI ADVOGADOS;1146;60.534.294/0001-63;01/02/2019;INDETERMINADO
35301;CONDISTA INTERNATIONAL, LLC;Programadoras;01/02/2017;INTERACTV BRASIL - GESTAO EMPRESARIAL EIRELI;25216;18.539.504/0001-40;28/11/2016;INDETERMINADO
47452;CONFEDERACION SUDAMERICANA DE FUTBOL;Programadoras;16/12/2020;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.;3293;04.334.366/0001-58;14/10/2020;INDETERMINADO
11927;CONSTELLATION ENTERTAINMENT GROUP LLC;Distribuidora para video/dvd;08/02/2007;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49;19/03/2014;INDETERMINADO
44401;CONTAINER MEDIA ENTERTAINMENT CORP;Portais, provedores de conteúdo e outros serviços de informação na internet;23/10/2019;PROGRAMADORA BRASILEIRA INDEPENDENTE LTDA;44012;10.772.239/0001-33;16/03/2022;INDETERMINADO
6208;DISCOVERY LATIN AMERICA, L.L.C;;13/08/2002;TOPSPORTS VENTURES LTDA.;12248;03.390.444/0001-79;19/01/2023;INDETERMINADO
26039;DISCOVERY NETWORKS, SL;Distribuição cinematográfica, de vídeo e de programas de televisão;23/01/2014;TOPSPORTS VENTURES LTDA.;12248;03.390.444/0001-79;21/11/2013;INDETERMINADO
20796;DOC & FILM INTERNATIONAL S.A.;Distribuição cinematográfica, de vídeo e de programas de televisão;02/02/2012;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;04/02/2020;04/02/2030
6214;EUROCHANNEL, INC;Outras;07/04/2003;EUROCHANNEL BRASIL LICENCIAMENTOS E SERVICOS LTDA;45983;36.505.159/0001-05;15/12/2020;INDETERMINADO
32185;FNLA, LLC;Programadoras;29/02/2016;TOPSPORTS VENTURES LTDA.;12248;03.390.444/0001-79;14/05/2018;INDETERMINADO
47979;FRANCE TELEVISIONS DISTRIBUTION;Distribuição cinematográfica, de vídeo e de programas de televisão;19/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;29/01/2021;28/01/2031
45297;FUEL TV EMEA S.A.;Programadoras;16/03/2020;INTERACTV SERVIÇOS DE TV E MÍDIA LTDA.;3023;07.085.868/0001-80;04/03/2020;INDETERMINADO
49427;GAUMONT SA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;02/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/08/2021;01/08/2026
6203;GEM ENTERTAINMENT KFT;Outras;27/09/2005;SWEN ENTRETENIMENTOS LTDA;4915;05.446.058/0001-87;30/08/2011;INDETERMINADO
55135;GOODFELLAS;Distribuição cinematográfica, de vídeo e de programas de televisão;22/09/2023;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;21/06/2023;20/06/2028
22399;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;Programadoras;18/09/2012;A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.;22341;15.777.407/0001-05;10/10/2022;10/10/2025
55002;INSCEAL LIMITED;;19/09/2023;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;04/05/2023;03/05/2028
6294;INTERNATIONAL DISTRIBUTION COMPANY, LLC.;Distribuidora para video/dvd;19/05/2006;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49;14/08/2019;31/12/2022
64527;IPANEMA PRODUCTIONS INC;Distribuição cinematográfica, de vídeo e de programas de televisão;17/03/2026;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98;10/02/2026;09/02/2028
21216;JAPAN INTERNATIONAL BROADCASTING INC.;Serviços de tradução, interpretação e similares;02/04/2012;INTERAD INFORMAÇÃO E TECNOLOGIA S/S LTDA;38002;03.036.590/0001-09;23/10/2019;INDETERMINADO
47944;JOUR 2 FETE SARL;Distribuição cinematográfica, de vídeo e de programas de televisão;16/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;26/01/2021;26/01/2031
64447;JUNTOS FILMS SPA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;04/03/2026;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;26/01/2026;25/01/2031
47996;KARNAVAS KONTOVRAKIS & CIA SNC;Distribuição cinematográfica, de vídeo e de programas de televisão;23/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;23/09/2020;22/09/2030
49537;KINOLOGY;Distribuição cinematográfica, de vídeo e de programas de televisão;16/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;13/09/2021;13/09/2026
48145;LATIDO CONSORCIO DE EXPORTACIÓN DEL CINE ESPANOL, S.L.;;12/04/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/02/2021;01/02/2031
14517;LE PACTE;Produtora;28/10/2008;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;17/08/2020;17/08/2030
23539;LES FILMS DU LOSANGE;Distribuição cinematográfica, de vídeo e de programas de televisão;26/03/2013;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/02/2021;02/02/2031
59943;LEVELK APS;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;25/10/2024;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;01/08/2024;01/08/2034
27060;LIFETIME BRAZIL DISTRIBUTION, LLC.;Programadoras;30/06/2014;A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.;22341;15.777.407/0001-05;01/07/2025;01/07/2028
46372;LIONS GATE FILMS INC.;Distribuição cinematográfica, de vídeo e de programas de televisão;19/08/2020;CESNIK, QUINTINO, SALINAS, FITTIPALDI & VALERIO ADVOGADOS;24698;03.281.691/0001-37;05/12/2022;INDETERMINADO
49592;LUXBOX;Distribuição cinematográfica, de vídeo e de programas de televisão;22/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;08/09/2021;08/09/2026
57222;M-APPEAL WORLD SALES UG;Distribuição cinematográfica, de vídeo e de programas de televisão;19/01/2024;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/08/2023;01/08/2028
49432;MEMENTO INTERNATIONAL;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;03/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;03/08/2021;02/08/2026
19139;MGM INTERNATIONAL TELEVISION DISTRIBUTION, INC;Distribuidora para televisão;22/06/2011;CESNIK, QUINTINO, SALINAS, FITTIPALDI & VALERIO ADVOGADOS;24698;03.281.691/0001-37;30/06/2020;INDETERMINADO
54711;MOVIESPHERE LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;04/09/2023;CESNIK, QUINTINO, SALINAS, FITTIPALDI & VALERIO ADVOGADOS;24698;03.281.691/0001-37;31/07/2023;31/07/2025
6209;MTV NETWORKS LATIN AMERICA INC.;;30/08/2002;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16;02/02/2026;01/01/2028
45013;MUCHOS AMIGOS PICTURES, LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;29/01/2020;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49;14/08/2019;31/12/2022
50861;NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC;Programadoras;30/03/2022;NBCUNIVERSAL INTERNATIONAL MEDIA BRASIL LTDA;22333;15.777.467/0001-10;15/01/2026;14/01/2029
47980;NEW EUROPE FILM SALES JAN NASZEWSKI;Distribuição cinematográfica, de vídeo e de programas de televisão;19/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;22/02/2021;21/02/2031
49536;NEWEN CONNECT;Distribuição cinematográfica, de vídeo e de programas de televisão;16/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;03/09/2021;03/09/2026
45263;OLE BRASIL DISTRIBUTION, LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;06/03/2020;OLE BRASIL SERVIÇOS AUDIOVISUAIS LTDA.;46394;37.168.987/0001-68;14/08/2020;INDETERMINADO
59915;ONLY TV ENTERTAINMENT CORP;Atividades relacionadas à televisão por assinatura, exceto programadoras;23/10/2024;INTERAD INFORMAÇÃO E TECNOLOGIA S/S LTDA;38002;03.036.590/0001-09;17/06/2024;INDETERMINADO
24580;PARAMOUNT SPAIN S.L.U.;Distribuição cinematográfica, de vídeo e de programas de televisão;05/07/2013;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16;13/10/2024;13/10/2026
49426;PATHE FILMS;Distribuição cinematográfica, de vídeo e de programas de televisão;02/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;05/08/2021;05/08/2026
42725;PERFORM INVESTMENT LIMITED;Programadoras;11/04/2019;DAZN MEDIA BRASIL SERVIÇOS LTDA;42523;23.558.898/0001-13;14/03/2019;13/03/2024
62712;PIPER FILM S.R.L;Distribuição cinematográfica, de vídeo e de programas de televisão;31/07/2025;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;15/05/2025;15/05/2030
41839;PLUS FILMS KFT;Distribuição cinematográfica, de vídeo e de programas de televisão;17/12/2018;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32;21/11/2018;INDETERMINADO
14245;PROSCENIUM PICTURES LIMITED;Distribuidora para video/dvd;21/08/2008;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49;14/08/2019;31/12/2022
45255;PULSAR CONTENT;Distribuição cinematográfica, de vídeo e de programas de televisão;05/03/2020;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;18/11/2019;18/11/2029
47991;RESERVOIR DOCS;Distribuição cinematográfica, de vídeo e de programas de televisão;22/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;16/03/2021;15/03/2031
61462;SALAUD MORISSET;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;28/03/2025;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;13/11/2024;13/11/2029
20530;SARAVA PICTURES, LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;30/12/2011;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49;14/08/2019;31/12/2022
6205;SB TV PROGRAMMING INTERNATIONAL CORP;Distribuidora para televisão;10/04/2006;CURTA! PROGRAMADORA DE CANAIS DE TV LTDA;22831;17.164.803/0001-84;28/01/2019;INDETERMINADO
22335;SET BRAZIL, LLC;Programadoras;10/09/2012;SONY PICTURES RELEASING OF BRASIL INC.;193;33.040.767/0001-01;25/10/2022;25/10/2027
44923;SEVEN ARTS MEDIA BV;;10/01/2020;BITELLI FILMS LTDA;52026;47.721.628/0001-40;19/12/2022;INDETERMINADO
48357;SOCIETE PARISIENNE DE PRODUCTION EURL;Distribuição cinematográfica, de vídeo e de programas de televisão;10/05/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;04/02/2020;04/02/2030
58407;SOCIÉTÉ NOUVELLE DE DISTRIBUTION;Distribuição cinematográfica, de vídeo e de programas de televisão;06/06/2024;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;06/12/2023;05/12/2028
44725;SOFA DIGITAL MEDIA, LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;09/12/2019;SYNAPSE BRAZIL LICENCIAMENTO DE DIREITOS AUDIOVISUAIS LTDA;277;02.185.369/0001-41;09/10/2019;INDETERMINADO
47057;STENNA INTERNATIONAL LLC;Programadoras;29/10/2020;STARKE CONSULTORIA E NEGÓCIOS DE MÍDIA LTDA;46896;39.237.339/0001-41;13/10/2020;INDETERMINADO
33280;STINGRAY DIGITAL INTERNATIONAL LIMITED;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;16/06/2016;INTERACTV SERVIÇOS DE TV E MÍDIA LTDA.;3023;07.085.868/0001-80;22/03/2016;INDETERMINADO
24081;SUN DISTRIBUTION GROUP SOCIEDAD ANÓNIMA;Distribuição cinematográfica, de vídeo e de programas de televisão;14/05/2013;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13;08/03/2013;INDETERMINADO
40778;TELEVISA, S.A. DE C.V.;Distribuição cinematográfica, de vídeo e de programas de televisão;16/08/2018;CESNIK, QUINTINO, SALINAS, FITTIPALDI & VALERIO ADVOGADOS;24698;03.281.691/0001-37;06/08/2018;INDETERMINADO
6276;TFCF LATIN AMERICAN CHANNEL LLC;;22/07/2003;TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA;1184;03.347.577/0001-62;27/06/2022;INDETERMINADO
60788;THE GOOD FAIRY LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;23/01/2025;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;02/12/2024;01/12/2029
47943;THE PARTY FILM SALES;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;16/03/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;26/01/2021;26/01/2031
