REGISTRO_ANCINE;DATA_REGISTRO;RAZAO_SOCIAL;CNPJ;DATA_CONSTITUICAO;UF;MUNICIPIO;CODIGO_MUNICIPIO_IBGE;CLASSIFICACAO_AGENTE_ECONOMICO;NATUREZA_JURIDICA;BRASILEIRO_INDEPENDENTE
59538;19/09/2024;*********** MARCO AURELIO TREVISAN SANTINI;24.591.682/0001-12;14/04/2016;PR;BOA VISTA DA APARECIDA;4103057;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
32426;22/03/2016;+2 PRODUÇÕES CULTURAIS - ME;10.539.519/0001-04;08/12/2008;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Simples Limitada;SIM
52179;13/10/2022;.976 LTDA;46.521.620/0001-77;24/05/2022;SC;BLUMENAU;4202404;Brasileiro independente;Sociedade Empresária Limitada;SIM
57511;23/02/2024;05.485.038 ROBSON CLERIO SILVA;05.485.038/0001-15;27/01/2003;SP;CAMPINAS;3509502;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
23809;19/04/2013;051 CINE & VIDEO LTDA;17.659.837/0001-40;13/02/2013;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
60378;06/12/2024;07.815.714 CARLOS ANTONIO RIGOTTI ALVES;07.815.714/0001-05;17/01/2006;MG;POCO FUNDO;3151701;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
44885;06/01/2020;09.029.482 CRISTIANO ROSSETTI CARNEIRO;09.029.482/0001-87;20/08/2007;SP;CRUZEIRO;3513405;Brasileiro independente;Empresário (Individual);SIM
62068;20/05/2025;1 + 2 ESTUDIO DE ILUSTRACAO E DESIGN LTDA;12.407.828/0001-48;03/08/2010;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Simples Limitada;SIM
63746;18/11/2025;1 FRAME FILMES, PUBLICIDADE, VFX E CONSULTORIA LTDA;61.777.501/0001-73;16/07/2025;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
56787;07/12/2023;10.882.768 HUGO CARDOSO CORDEIRO;10.882.768/0001-90;08/06/2009;MG;BELO HORIZONTE;3106200;Brasileiro independente;Empresário (Individual);SIM
349;10/03/2004;1001 FILMES LTDA;35.892.546/0001-89;12/12/1989;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
59135;27/08/2024;102 FILMES E VIDEOS LTDA;55.779.681/0001-20;03/07/2024;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
23394;05/03/2013;11.003.171 JOELSON MARTINS GOMES;11.003.171/0001-90;30/07/2009;RJ;CAMPOS DOS GOYTACAZES;3301009;Brasileiro independente;Empresário (Individual);SIM
62314;13/06/2025;11.051.544 FABRICIO ANDRE MAZZARINO;11.051.544/0001-07;28/07/2009;SP;SAO JOSE DOS CAMPOS;3549904;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
32643;12/04/2016;11.130.331 NEI CAPELLARI;11.130.331/0001-62;11/09/2009;PR;CURITIBA;4106902;Brasileiro independente;Empresário (Individual);SIM
37338;15/08/2017;11.223.127 ALEXANDRE HERMES OLIVEIRA ASSUNCAO;11.223.127/0001-96;15/10/2009;CE;FORTALEZA;2304400;Brasileiro independente;Empresário (Individual);SIM
55915;23/10/2023;11.579.366 NATANAEL FERNANDES DA SILVA;11.579.366/0001-83;22/02/2010;PB;SANTA RITA;2513703;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
61350;19/03/2025;11.644.497 MARCELA CAMPOS DE AVELLAR;11.644.497/0001-05;06/03/2010;RJ;RESENDE;3304201;Brasileiro independente;Empresário (Individual);SIM
52681;24/01/2023;11.773.752 JULIO CESAR DE SA BARROS;11.773.752/0001-01;06/04/2010;AP;MACAPA;1600303;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56999;21/12/2023;11.809.430 DAVID ALMEIDA PEDROSA;11.809.430/0001-75;13/04/2010;RJ;ANGRA DOS REIS;3300100;Brasileiro independente;Empresário (Individual);SIM
57237;22/01/2024;11.862.298 DOUGLAS TADEU LAMBERT DE OLIVEIRA;11.862.298/0001-65;27/04/2010;SP;SAO PAULO;3550308;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
57412;09/02/2024;11.903.845 MARIA SOUTO DE CARVALHO;11.903.845/0001-03;06/05/2010;RJ;RIO DE JANEIRO;3304557;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
55163;25/09/2023;11.959.511 ADMILSON JULIAO MARTINS;11.959.511/0001-51;18/05/2010;PB;CAMPINA GRANDE;2504009;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
52687;25/01/2023;11.974.828 LUIZ EDUARDO VALLE DOS SANTOS;11.974.828/0001-67;20/05/2010;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
34063;30/08/2016;1111 FILMES E CONTEUDO LTDA;22.744.857/0001-59;29/06/2015;CE;EUSEBIO;2304285;Brasileiro independente;Sociedade Empresária Limitada;SIM
60514;18/12/2024;113 FILMES LTDA;57.616.940/0001-27;09/10/2024;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Sociedade Empresária Limitada;SIM
52800;09/02/2023;12 ENTRETENIMENTO LTDA;46.496.281/0001-16;23/05/2022;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
44753;10/12/2019;12 FILMES STUDIO DE ANIMACAO E PRODUCAO AUDIO VISUAL LTDA;31.260.750/0001-26;17/08/2018;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
54970;18/09/2023;12 POLEGADAS SOLUÇÕES CULTURAIS LTDA;45.286.147/0001-28;14/02/2022;PE;RECIFE;2611606;Brasileiro independente;Sociedade Empresária Limitada;SIM
58897;05/08/2024;12.051.113 GILMARA REIS GONCALVES NASCIMENTO;12.051.113/0001-03;08/05/2010;BA;JUAZEIRO;2918407;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
