Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2010;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro;"""A Profecia de Asgard""";Seleção Oficial;Giu Jorge; - ; - ;Curta; -; ; ;X
2010;Festival Internacional de Filmes de Curta-metragem de Hamburgo;Alemanha;Junho;"""Elétrico Jardim da Escuridão""";No Budget Competition;Mariana Campos; - ; - ;Curta; -; ; ;X
2010;Festival de Cinema de Huesca;Espanha;Junho;"""Ensaio de Cinema""";Concurso Iberoamericano de curta-metragens;Allan Ribeiro da Silva;3 Moinhos Produções;RJ;Curta;B1001169600000;X;X;X
2010;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""Ensaio de Cinema""";Competencia Internacional de Cortometrajes;Allan Ribeiro da Silva;3 Moinhos Produções;RJ;Curta;B1001169600000;X;X;X
2010;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Bala na Cabeça""";Competição Curta-Metragem de ficção;Cristiano Abud;Abuzza Filmes;MG;Curta;B0901023100000;X;X;X
2010;Festival de Cinema de Huesca;Espanha;Junho;"""Ave Maria ou Mãe dos Sertanejos""";Concurso Iberoamericano de curta-metragens documental;Camilo Cavalcante;AC Cavalcante Serviços;PE;Curta;B1101508000000; ; ;X
2010;Festival de Cinema de Tampere;Finlândia;Março;"""Flash Happy Society""";Competição Internacional Principal;Guto Parente;Alumbramento;CE;Curta;B1001339600000; ; ;X
2010;Mostra Internacional de Arte Cinematográfica de Veneza;Itália;Setembro;"""O Mundo é Belo""";Orizzonti Competition;Luiz Pretti;Alumbramento;CE;Curta;B1001339700000;X; ;X
2010;Festival Internacional de Filmes de Curta-metragem de Drama;Grécia;Setembro;"""Olhos de Ressaca""";Competition program;Petra Costa;Busca Vida Filmes;SP;Curta;B1101346600000; ;X;
2010;Festival Internacional Nueva Mirada para a Infância e Juventude;Argentina;Setembro;"""A Menina Espantalho""";Competição Oficial;Cássio Pereira dos Santos;Cassio Pereira dos Santos;MG;Curta;B0901057000000; ; ;X
2010;Festival de Cannes;França;Maio;"""A Distração de Ivan""";Semana da Crítica;Gustavo Melo/Cavi Borges;Cavideo Produções;RJ;Curta;B1001232900000;X;X;X
2010;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro/Fevereiro;"""Três Tabelas""";Lab competition;Tatiana Carvalho de Azevedo;Cinematográfica Superfilmes;SP;Curta;B1001310400000;X;X;
2010;Festival Internacional de Mar del Plata;Argentina;Novembro;"""Tempestade""";Competição Latino-americana de Curtas-Metragens;Cesar Cabral;Coala Filmes;SP;Curta;B1001232700000;X; ;
2010;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro/Fevereiro;"""Mira""";Lab competition;Eva Queiroz/Sérgio Borges/Pablo Lobato/João Flores/Filipe Fcmc;Eva Santos de Queiroz;MG;Curta;B0500238900000; ; ;X
2010;Festival de Cinema Mundial de Montreal;Canadá;Agosto/Setembro;"""Caos""";World Competition;Fábio Baldo;Fábio Eduardo Baldo;SP;Curta;B1001273600000;X;X;X
2010;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""Depois do Almoço""";Competição de curtas-metragens;Rodrigo Diaz Diaz;Filmes de Abril;SP;Curta;B1001169700000; ;X;
2010;Festival de Cinema de Cartagena;Colômbia;Fevereiro;"""Chapa""";Competição oficial de curta-metragem;Thiago Ricarte;Fundação Armando Alvares Penteado;SP;Curta;B0901108100000;X;X;
2010;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Abril/Maio;"""Chapa""";International Competition;Thiago Ricarte;Fundação Armando Alvares Penteado;SP;Curta;B0901108100000;X; ;X
2010;Festival de Cannes;França;Maio;"""Estação""";Competição Oficial de Curtas-Metragens;Marcia Farias;Gullane;SP;Curta;B1001293900000;X; ;X
2010;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro/Outubro;"""Estação""";Competição de curtas-metragens;Marcia Farias;Gullane;SP;Curta;B1001293900000; ; ;X
