CPB_ROE;TITULO_BRASIL;TITULO_ORIGINAL;PAIS_OBRA;ANO;PUBLICO
E2400179900000;DIVERTIDA MENTE 2;INSIDE OUT 2;ESTADOS UNIDOS;2024;22775717
E1900107800000;VINGADORES: ULTIMATO;AVENGERS: ENDGAME;ESTADOS UNIDOS;2019;19972187
E1900267700000;O REI LEÃO;THE LION KING;ESTADOS UNIDOS;2019;16479575
E1800067100000;VINGADORES: GUERRA INFINITA;AVENGERS: INFINITY WAR;ESTADOS UNIDOS;2018;14738712
B1800110100000;;NADA A PERDER;BRASIL;2018;12376734
E2100453300000;HOMEM-ARANHA: SEM VOLTA PARA CASA;SPIDER-MAN: NO WAY HOME;ESTADOS UNIDOS;2021;12110322
B1600036400000;;OS DEZ MANDAMENTOS;BRASIL;2016;11536505
E2300216200000;BARBIE;BARBIE;ESTADOS UNIDOS;2023;11054527
E2500174800000;LILO & STITCH;LILO & STITCH;ESTADOS UNIDOS;2025;10570877
E1500563200000;VINGADORES: ERA DE ULTRON;THE AVENGERS: AGE OF ULTRON;ESTADOS UNIDOS;2015;10174771
E1500161300000;VELOZES E FURIOSOS 7;FURIOUS SEVEN;ESTADOS UNIDOS;2015;10095955
E1800037700000;OS INCRÍVEIS 2;THE INCREDIBLES 2;ESTADOS UNIDOS;2018;9972069
E1900357300000;CORINGA;JOKER;CANADÁ;2019;9888268
E1600129800000;CAPITÃO AMÉRICA: GUERRA CIVIL;CAPTAIN AMERICA: CIVIL WAR;ESTADOS UNIDOS;2016;9733958
E1900011200000;CAPITÃ MARVEL;CAPTAIN MARVEL;ESTADOS UNIDOS;2019;9160026
E1500759400000;MEU MALVADO FAVORITO 3;DESPICABLE ME 3;ESTADOS UNIDOS;2017;9122703
E1500311600000;MINIONS;MINIONS;ESTADOS UNIDOS;2015;9057574
E1600053700000;BATMAN VS SUPERMAN: A ORIGEM DA JUSTIÇA;BATMAN VS SUPERMAN;ESTADOS UNIDOS;2016;8731135
B1900576900000;;MINHA MÃE É UMA PEÇA 3;BRASIL;2020;8647745
E2200135700000;DOUTOR ESTRANHO NO MULTIVERSO DA LOUCURA;DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS;ESTADOS UNIDOS;2022;8631941
E1700045600000;VELOZES E FURIOSOS 8;THE FATE OF THE FURIOUS;FRANCA;2017;8612660
E1700482600000;LIGA DA JUSTIÇA;JUSTICE LEAGUE;ESTADOS UNIDOS;2017;8580638
E1600795300000;A BELA E A FERA;BEAUTY AND THE BEAST;ESTADOS UNIDOS;2017;8394448
E1600258900000;PROCURANDO DORY;FINDING DORY;ESTADOS UNIDOS;2016;8314218
E1900365900000;FROZEN 2;FROZEN II;ESTADOS UNIDOS;2020;8111404
E1900229100000;TOY STORY 4;TOY STORY 4;ESTADOS UNIDOS;2019;8081893
E2400414300000;MOANA 2;MOANA 2;CANADÁ;2024;8074661
E2400050500000;MEU MALVADO FAVORITO 4;DESPICABLE ME 4;ESTADOS UNIDOS;2024;8067225
E1600434700000;ESQUADRÃO SUICIDA;SUICIDE SQUAD;ESTADOS UNIDOS;2016;8003492
E2400232500000;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;ESTADOS UNIDOS;2024;7586679
E1700512400000;PANTERA NEGRA;BLACK PANTHER;ESTADOS UNIDOS;2018;7586109
E1700197900000;MULHER-MARAVILHA;WONDER WOMAN;ESTADOS UNIDOS;2017;7150536
E2200126100000;MINIONS 2: A ORIGEM DE GRU;MINIONS: THE RISE OF GRU;ESTADOS UNIDOS;2022;7095410
