Valores Captados por Projeto Incentivado - Em Reais (R$) - 2002 a Julho de 2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ano de Captação;Salic;Nome do Projeto;CNPJ do Proponente;Proponente;UF;Tipo ou segmento;Gênero;"Lei 8.313/91
(Lei Rouanet)";"Art. 1º 
Lei 8.685/93";"Art. 1º A
Lei 8.685/93";"Art. 3º 
Lei 8.685/93*";"Art. 3º A
Lei 8.685/93*";"Art. 39 
MP 2228-1/01*";Funcines;Total Captado no Ano
2002;23795;174;01.803.185/0001-35;ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.;RJ;Produção Cinematográfica;Documentário;200.000,00;0;0;0;0;0;0;200.000,00
2002;984629;1972;16.592.099/0001-06;GNCTV - PRODUCOES DE CINEMA E TV LTDA;RJ;Produção Cinematográfica;Ficção;400.000,00;500.000,00;0;1.000.000,00;0;0;0;1.900.000,00
2002;11990;1,99 Um Supermercado que Vende Palavras;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;SP;Produção Cinematográfica;Ficção;220.000,00;240.225,00;0;0;0;0;0;460.225,00
2002;23740;6º Festival de Cinema Brasileiro de Miami;02.723.125/0001-75;INFFINITO NUCLEO DE ARTE E CULTURA;RJ;Eventos; -;150.000,00;0;0;0;0;0;0;150.000,00
2002;984893;A Conspiração do Silêncio;01.447.724/0001-40;JOSÉ RONALDO LOPES DUQUE;GO;Produção Cinematográfica;Ficção;502.723,43;550.000,00;0;0;0;0;0;1.052.723,43
2002;12081;A Ilha da Morte (Ex-Minerva é nome de mulher);00.993.636/0001-81;M MARGARITA HERNANDEZ PASCUAL;CE;Produção Cinematográfica;Ficção;100.000,00;100.000,00;0;0;0;0;0;200.000,00
2002;23779;A Margem da Imagem;59.190.843/0001-40;SP FILMES DE SÃO PAULO LTDA;SP;Produção Cinematográfica;Documentário;0;235.000,00;0;0;0;0;0;235.000,00
2002;993471;A Pessoa é Para o Que Nasce - A Vida é Dura;31.337.942/0001-93;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;RJ;Produção Cinematográfica;Documentário;0;50.132,00;0;0;0;0;0;50.132,00
2002;993709;Abril Despedaçado;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;RJ;Produção Cinematográfica;Ficção;0;620.000,00;0;50.106,46;0;0;0;670.106,46
2002;12070;Achados e Perdidos;27.527.464/0001-07;COEVOS FILMES LTDA;RJ;Produção Cinematográfica;Ficção;0;328.507,00;0;0;0;0;0;328.507,00
2002;984674;Alegres Comadres (As);02.771.086/0001-81;CONEXÃO CINEMA PRODUÇÕES ARTÍSTICAS LTDA;RJ;Produção Cinematográfica;Ficção;150.000,00;904.011,00;0;0;0;0;0;1.054.011,00
2002;376;Amarelo Manga Ou Alugam-se Vagas;71.733.695/0001-69;OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Produção Cinematográfica;Ficção;0;0;0;66.938,00;0;0;0;66.938,00
2002;24030;Amazônia - Herança de Uma Utopia (Ex - Amazônia Brasileira);03.984.281/0001-52;RIO DE CINEMA PRODUÇÕES CULTURAIS;RJ;Produção Cinematográfica;Documentário;400.000,00;0;0;0;0;0;0;400.000,00
2002;23627;Amigo Invisível (O) - Telefilme;30.261.564/0001-49;ESTÚDIO, PESQUISA E CRIAÇÕES ARTÍSTICAS LTDA;RJ;Produção Televisiva;Ficção;120.000,00;0;0;0;0;0;0;120.000,00
2002;23752;América Una - Missões/Mercosul;04.516.087/0001-05;INSTITUTO LATINOAMERICA PARA O DESENVOLVIMENTO DA EDUCAÇÃO,ARTE,CIÊNCIA E CULTURA;DF;Produção Cinematográfica;Documentário;150.000,00;0;0;0;0;0;0;150.000,00
2002;11995;Anita e Garibaldi (ex - Garibaldi in America);80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;PR;Produção Cinematográfica;Ficção;0;507.233,00;0;0;0;0;0;507.233,00
2002;984600;Apolônio Brasil - Campeão da Alegria (Ex Tempestade Cerebral);40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;RJ;Produção Cinematográfica;Ficção;310.000,00;300.000,00;0;0;0;0;0;610.000,00
2002;11808;Arte Para Todos;33.139.692/0001-02;MAPA FILMES DO BRASIL LTDA.;RJ;Produção Cinematográfica;Documentário;0;413.400,00;0;0;0;0;0;413.400,00
