ANO;NOME_COMPLEXO;REGISTRO_ANCINE;MUNICIPIO;UF;STATUS
2014;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA.;19955;JAGUARIÚNA;SP;FECHADO
2014;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;SÃO CAETANO DO SUL;SP;ABERTO
2014;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;UBERLÂNDIA;MG;ABERTO
2014;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;SÃO PAULO;SP;ABERTO
2014;2104 CINEMARK BOULEVARD LONDRINA;24767;LONDRINA;PR;ABERTO
2014;2105 CINEMARK VIA VALE TAUBATÉ;24766;TAUBATÉ;SP;ABERTO
2014;2106 CINEMARK VILLAGE MALL;22951;RIO DE JANEIRO;RJ;ABERTO
2014;2107 CINEMARK RIOMAR RECIFE;24763;RECIFE;PE;ABERTO
2014;2108 CINEMARK GOIABEIRAS .;24765;CUIABÁ;MT;ABERTO
2014;2109 - CINEMARK GOLDEN SQUARE;26041;SÃO BERNARDO DO CAMPO;SP;ABERTO
2014;2111 CINEMARK METROPOLITAN GARDEN SHOPPING BETIM;27397;BETIM;MG;ABERTO
2014;2112 CINEMARK METROPOLITANO BARRA;27386;RIO DE JANEIRO;RJ;ABERTO
2014;2113 - CINEMARK PASSEIO DAS AGUAS;26040;GOIÂNIA;GO;ABERTO
2014;2115 CINEMARK ATRIUM;27398;SANTO ANDRÉ;SP;ABERTO
2014;661 CINEMARK CAPIM DOURADO.;19102;PALMAS;TO;ABERTO
2014;662 CINEMARK SHOPPING RAPOSO TAVARES;20591;SÃO PAULO;SP;ABERTO
2014;663 CINEMARK GRANJA VIANA;18206;COTIA;SP;ABERTO
2014;681 CINEMARK NATAL;5565;NATAL;RN;ABERTO
2014;682 CINEMARK CIDADE JARDIM;14628;SÃO PAULO;SP;ABERTO
2014;684 CINEMARK SANTA CRUZ.;2524;SÃO PAULO;SP;ABERTO
2014;687 CINEMARK SHOPPING D;907;SÃO PAULO;SP;ABERTO
2014;688 CINEMARK MARKET PLACE;908;SÃO PAULO;SP;ABERTO
2014;689 CINEMARK JACAREÍ;6664;JACAREÍ;SP;ABERTO
2014;690 CINEMARK BOULEVARD TATUAPÉ;12974;SÃO PAULO;SP;ABERTO
2014;691 CINEMARK NITEROI;2543;NITERÓI;RJ;ABERTO
2014;692 CINEMARK CARIOCA;2525;RIO DE JANEIRO;RJ;ABERTO
2014;693 CINEMARK CANOAS;903;CANOAS;RS;ABERTO
2014;694 CINEMARK CAMPO GRANDE;904;CAMPO GRANDE;MS;ABERTO
2014;695 CINEMARK BOURBON IPIRANGA;901;PORTO ALEGRE;RS;ABERTO
2014;696 CINEMARK CENTERVALE;2526;SÃO JOSÉ DOS CAMPOS;SP;ABERTO
2014;697 CINEMARK SAVASSI.;3086;BELO HORIZONTE;MG;ABERTO
2014;698 CINEMARK MUELLER;2527;CURITIBA;PR;ABERTO
2014;699 CINEMARK CENTER NORTE;2528;SÃO PAULO;SP;ABERTO
2014;700 CINEMARK BARIGUI;2529;CURITIBA;PR;ABERTO
2014;702 CINEMARK VITORIA;12975;VITÓRIA;ES;ABERTO
2014;703 CINEMARK FLORIANOPOLIS .;12977;FLORIANÓPOLIS;SC;ABERTO
2014;704 CINEMARK BARRA SUL;14884;PORTO ALEGRE;RS;ABERTO
2014;705 CINEMARK CENTRAL PLAZA;902;SÃO PAULO;SP;ABERTO
2014;706 CINEMARK ARACAJU;2530;ARACAJU;SE;ABERTO
2014;708 CINEMARK MANAUS;905;MANAUS;AM;ABERTO
2014;709 CINEMARK PRAIAMAR;906;SANTOS;SP;ABERTO
2014;710 CINEMARK SP MARKET;898;SÃO PAULO;SP;ABERTO
2014;711 CINEMARK TATUAPE;895;SÃO PAULO;SP;ABERTO
2014;712 CINEMARK COLINAS;2531;SÃO JOSÉ DOS CAMPOS;SP;ABERTO
2014;713 CINEMARK ABC PLAZA;896;SANTO ANDRÉ;SP;ABERTO
2014;714 CINEMARK INTERLAGOS;2533;SÃO PAULO;SP;ABERTO
2014;715 CINEMARK ELDORADO;11840;SÃO PAULO;SP;ABERTO
2014;716 CINEMARK ARICANDUVA;897;SÃO PAULO;SP;ABERTO
2014;717 CINEMARK TAMBORE.;900;BARUERI;SP;ABERTO
2014;718 CINEMARK TAGUATINGA.;2534;BRASÍLIA;DF;ABERTO
2014;719 CINEMARK DOWNTOWN;899;RIO DE JANEIRO;RJ;ABERTO
2014;720 CINEMARK PIER 21;2535;BRASÍLIA;DF;ABERTO
