Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2021;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;
Condecine-Remessa;430.211,84;442.206,79;215.455,30;291.176,67;189.664,42;1.017.526,14;246.820,58;107.646,64;185.800,42;416.096,50;12.044.214,19;771.357,15;16.358.176,64;
Condecine-Títulos;5.178.917,99;5.646.800,40;6.641.446,99;8.306.134,27;8.531.373,79;9.586.983,71;9.431.822,02;9.436.819,28;9.957.316,40;9.935.576,13;8.202.763,88;8.599.719,92;99.455.674,78;
Condecine-Teles;3.331.276,89;41.425,70;592.603.317,56;228.525.469,00;9.737.344,57;3.338.912,88;35.806,30;6.596.038,30;3.342.038,52;91.060,51;6.616.827,13;3.353.359,42;857.612.876,78;
Dívida Ativa;47.558,53;54.182,37;162.327,39;56.347,97;54.240,40;76.895,24;-15.209,34;70.515,93;84.588,41;70.595,86;101.390,09;84.102,80;847.535,65;
;;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;
Condecine-Remessa;301.055,79;309.544,76;150.748,02;203.985,66;132.446,68;712.279,87;172.925,20;75.406,22;131.040,88;291.236,12;8.431.631,40;539.950,00;11.452.250,60;
Condecine-Títulos;3.625.242,87;3.952.760,48;4.649.013,17;5.814.553,89;5.971.961,89;6.710.888,82;6.602.275,69;6.605.773,93;6.970.121,72;6.954.903,45;5.741.935,00;6.019.899,82;69.619.330,73;
Condecine-Teles;2.331.894,02;28.998,12;414.822.322,46;159.967.828,58;6.816.141,41;2.337.239,18;25.064,52;4.617.226,99;2.339.427,09;63.742,48;4.631.779,17;2.347.351,76;600.329.015,78;
Dívida Ativa;33.291,10;37.927,78;113.629,32;39.443,68;37.968,43;53.826,86;-10.646,35;49.361,35;59.212,08;49.417,23;70.973,24;58.872,14;593.276,86;
;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.;;;;;;;;;;;;;;
4. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fonte: Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 09/02/2022.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 10/02/2022.;;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;;
