Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2025;;;;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;
Condecine-Remessa; 500.070,74 ; 150.996,86 ; 189.397,39 ; 244.153,74 ; 304.329,95 ; 148.860,89 ; 801.479,30 ; 5.430.832,12 ; 11.132.659,36 ; 4.763.937,41 ; 287.436,12 ; 220.005,04 ; 24.174.158,92 ;;;
Condecine-Títulos; 5.628.903,01 ; 6.153.838,59 ; 6.295.573,16 ; 8.699.581,06 ; 7.782.811,44 ; 6.607.970,24 ; 7.741.824,32 ; 6.364.048,08 ; 8.473.531,25 ; 6.542.065,54 ; 6.336.552,94 ; 7.447.223,05 ; 84.073.922,68 ;;;
Condecine-Teles; 3.795.187,52 ; 31.924,00 ; 1.026.609.368,21 ; 4.141.030,91 ; 3.503.036,04 ; 59.298,20 ; 7.005.886,12 ; 3.561.387,19 ; 255.363,73 ; 3.779.101,75 ; 3.704.700,62 ; 3.806.845,13 ; 1.060.253.129,42 ;;;
Dívida Ativa; 84.793,40 ; 114.443,10 ; 99.945,05 ; 98.478,50 ; 140.988,04 ; 76.136,85 ; 73.949,99 ; 90.747,75 ; 105.455,34 ; 162.714,96 ; 129.102,16 ; 127.523,45 ; 1.304.278,59 ;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;
Condecine-Remessa; 369.849,82 ; 105.697,80 ; 132.733,40 ; 171.065,69 ; 213.192,07 ; 104.366,98 ; 561.202,99 ; 3.801.753,62 ; 7.793.035,99 ; 3.335.152,55 ; 201.386,85 ; 154.188,08 ; 16.943.625,84 ;;;
Condecine-Títulos; 3.940.093,81 ; 4.307.687,20 ; 4.406.901,40 ; 6.089.707,02 ; 5.447.968,21 ; 4.625.579,36 ; 5.419.277,25 ; 4.455.321,86 ; 5.931.472,13 ; 4.579.446,09 ; 4.435.587,20 ; 5.213.056,39 ; 58.852.097,92 ;;;
Condecine-Teles; 2.656.890,88 ; 22.346,87 ; 718.626.557,89 ; 2.898.721,80 ; 2.452.125,32 ; 41.508,86 ; 4.904.120,43 ; 2.492.971,09 ; 178.754,74 ; 2.645.371,26 ; 2.593.290,49 ; 2.664.791,70 ; 742.177.451,33 ;;;
Dívida Ativa; 59.355,56 ; 80.110,31 ; 69.961,69 ; 68.935,11 ; 98.691,82 ; 53.295,95 ; 51.765,13 ; 63.523,55 ; 73.818,90 ; 113.900,72 ; 90.371,68 ; 89.266,62 ; 912.997,04 ;;;
;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.;;;;;;;;;;;;;;;;
4. A partir do exercício de 2021, os valores informados são aqueles exatos, de acordo com os dados extraidos do SIAFI, e não mais estimados, como informado acima, em anos anteriores.;;;;;;;;;;;;;;;;
5. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Fonte: Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 16/02/2026.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Informações fornecidas pela Gerência de Finanças e Orçamento - GFO/SGI.  Publicado em 08/04/2026.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
