"""Valores Recolhidos por Distribuidora - Art. 3º da Lei 8.685/93 - Em Reais (R$) - 2002 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Estrangeira Representada""";"""Empresa Brasileira """;"""Valor (R$)"""
"""2017""";"""AGGREGATOR MEDIA LLC""";"""CLARO S.A.""";"""42806,51"""
"""2017""";"""AGGREGATOR MEDIA LLC""";"""SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA""";"""5380,83"""
"""2017""";"""ALFAMA FILMS PRODUCTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""11324,21"""
"""2017""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2734,38"""
"""2017""";"""BUENA VISTA INTERNATIONAL, INC""";"""THE WALT DISNEY COMPANY (BRASIL) LTDA.""";"""8730899,67"""
"""2017""";"""CELLULOID DREAMS SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""6163,39"""
"""2017""";"""CLARO VIDEO, INC.""";"""CLARO S.A.""";"""12771896,69"""
"""2017""";"""CLARO VIDEO, INC.""";"""EMBRATEL TVSAT TELECOMUNICACOES SA""";"""587005,42"""
"""2017""";"""CPT HOLDINGS INC""";"""CLARO S.A.""";"""1595617,84"""
"""2017""";"""EUROPACORP""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""10649,31"""
"""2017""";"""FILMS BOUTIQUE SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""13252,37"""
"""2017""";"""FILMS DISTRIBUTION SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4936,96"""
"""2017""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""39932,25"""
"""2017""";"""FREEWAY SPAIN S.L..""";"""ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP""";"""1185,97"""
"""2017""";"""FUNNY BALLOONS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""17492,3"""
"""2017""";"""INTERNATIONAL DISTRIBUITION COMPANY, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""525,23"""
"""2017""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""8766,55"""
"""2017""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""218175,72"""
"""2017""";"""LE PACTE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4204,86"""
"""2017""";"""LES FILMS DU LOSANGE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1128,16"""
"""2017""";"""MFI SARL""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""8533,25"""
"""2017""";"""MK2 FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""16214,13"""
"""2017""";"""O SOM E A FÚRIA - PRODUÇÃO AUDIOVISUAL, LDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2908,93"""
"""2017""";"""PARAMOUNT SPAIN SL""";"""ENCRIPTA S/A""";"""5703,76"""
