DIRETOR;TITULO_ORIGINAL;ROE
PABLO TRAPERO;EL CLAN;E1500796900000
***********;CONFLUENCES EMERILLON OF FRENCH GUIANA;E1300000100000
***********;KORUBO, MORIR MATANDO;E1300000100000
, HIROTOSHI RISSEN;DAFT PUNK & LEIJI MATSUMOTO'S INTERSTELLA 5555  THE 5TORY OF THE 5ECRET 5TAR 5YSTEM;E2400447100000
-;BABY EINSTEIN WORLD ANIMALS;E1300000100000
-;DISNEY'S LITTLE EINSTEINS: OUR BIG HUGE ADVENTURE;E1300000100000
-;DISNEY'S MAGIC ENGLISH - DISCOVERING ANIMALS;E1300000100000
-;DISNEY'S MAGIC ENGLISH - WELCOMING WORDS;E1300000100000
-;DISNEY'S MAGIC ENGLISH 6 - FROM HEAD TO TOE;E1300000100000
-;DISNEY'S MAGIC ENGLISH 7 - GREAT OUTDOORS;E1300000100000
-;DISNEY'S MAGIC ENGLISH 8 - THINGS TO KNOW;E1300000100000
-;DISNEY'S MAGIC ENGLISH: FOOD AND FUN - VOL. 3;E1300000100000
-;MY FRIENDS TIGGER AND POOH: A SUPER SLEUTH CHRISTMAS MOVIE;E1300000100000
-;THE E! TRUE HOLLYWOOD STORY -EPS. 312, 328, 310, 330, 110, 268, 274, 278, 296, 307;E1300000100000
20TH CENTURY FOX;LONGEST DAY, THE;E1300000100000
20TH CENTURY FOX OF GERMANY;SPEED 2 - CRUISE CONTROL;E1300000100000
36 GRADOS;J BALVIN - BOBO;E1600353600000
4 NON BLONDES;4 NON BLONDES - WHAT'S UP;E1700201700000
5 SECONDS OF SUMMER;5 SECONDS OF SUMMER - AMNESIA (LYRIC VIDEO);E1500345800000
5 SECONDS OF SUMMER;5 SECONDS OF SUMMER - SHE'S KINDA HOT (LIVE);E1500848400000
5 SECONDS OF SUMMER;5 SECONDS OF SUMMER - WHAT I LIKE ABOUT YOU (LYRIC VIDEO);E1500331700000
50 CENT;50 CENT FEAT. CHRIS BROWN - I'M THE MAN;E1700292300000
6D ESTÚDIO;MOPTOP - O ROCK ACABOU (2ª VERSÃO);E1500023600000
6IX9INE;6IX9INE FEAT. NICKI MINAJ & MURDA BEATZ - FEFE;E1800397700000
