ano,sexo,empregos_formais_ativos_31_12,total_ano,fonte_tabela,status_serie,nota_metodologica,fonte_arquivo,fonte_url,fonte_pagina,hash_fonte
2011,feminino,45262,113298,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2011,masculino,68036,113298,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2012,feminino,45555,113357,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2012,masculino,67802,113357,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2013,feminino,44622,111881,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2013,masculino,67259,111881,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,feminino,40411,99642,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,masculino,59231,99642,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2015,feminino,38739,95784,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2015,masculino,57045,95784,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2016,feminino,37371,92550,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2016,masculino,55179,92550,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,feminino,37173,91821,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2017,masculino,54648,91821,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,feminino,34341,85200,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2018,masculino,50859,85200,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2019,feminino,35237,86719,Tabela 1,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 1 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
