TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
FACEBOOK STORIES - THE SETREET POET;Publicitária;13/01/2014 a 20/01/2014;Southside Produções Ltda.;SP;Already Alive Ltd.;EUA;04;
JOHNY IN ORANGE;Documentário;12/02/2014 a 24/02/2014;Moises Zeferino ME;SP;Talpa Producties BV.;Holanda;05;
MIRACLE BODY - BRAZIL;Documentário;19/01/2014 a 05/02/2014;Xes Projetos Visuais Ltda;SP;NHK - Japan Broadcasting Co.;Japão;03;
"GALILEO (""GERMANY MEETS & THE ORANGE JUICE PRODUCTION OF BRAZIL)";Documentário;18/01/2014 a 26/01/2014;Aura Filme Produções Ltda;RJ;Maximus Film GmbH;Alemanha;02;
RISE AS ONE MATCH FOR PEACE;Documentário;23/01/2014 a 29/01/2014;Zona de Produção e Comunicação Ltda;BA;Tarras Productions;EUA;04;
RIO WC TITLES;Chamadas;22/01/2014 a 28/01/2014;Union Filmes Ltda;PR;ITV Sport;Reino Unido;04;
GAP YEAR;Documentário;14/02/2014 a 06/04/2014;Zona de Produção e Comunicação Ltda;BA;RK Productions;Austrália;09;
CLEAR LAURA;Publicitária;02/02/2014 a 06/02/2014;Conspiração Filmes Entretenimento 3º Milênio Ltda.;RJ;-;-;01;
WATERFRONT CITIES OF THE WORLD IV;Documentário;02/02/2014 a 02/04/2014;Embaúba Produções;RJ;DBC2 / Dbcom Media;Canadá;06;
VERIZON DOCU-SERIES;Publicitária;15/01/2014 a 15/02/2014;Zohar Cinema e Comunicação Ltda;RJ;RD Independent Productions LLC;EUA;04;
WE ARE ONE;Videoclipe;20/01/2014 a 05/02/2014;Conspiração Filmes S/A;RJ;Black Dog Films;EUA;02;
OFF THE GRID;Documentário;16/01/2014 a 16/03/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;Amazon Tv Limited;Reino Unido;18;
TOT UND HARRY INTERNATIONAL;Documentário;25/01/2014 A 02/02/2014;Sol Entertainment Ltda;RJ;Sony Pictures Film und Fernseh Produktions GmbH;Alemanha;02;
HUMAN;Documentário;03/02/2014 A 21/02/2014;Bonfilm Produção e Distribuição Audiovisual Ltda;RJ;Humankind Production;França;02;
BIGGER THANK A BANK;Publicitária;20/01/2014 a 30/01/2014;Sweet Produções Ltda;SP;Finch Company;Austrália;03;
JAPONESES QUE VIVEM EM TERRAS DISTANTES;Documentário;06/02/2014 a 20/02/2014;Urutau Filmes Ltda;SP;Wave Inc. / Keisuke Sawachi;Japão;08;
QUEST: THE MOVIE - PARTE II;Documentário;25/02/2014 a 15/03/2014;Neon Rio Ltda;RJ;Quest Unlimited Ltd;Reino Unido;11;
SOCCER PLANET;Documentário;05/02/2014 a 21/02/2014;Urutau Filmes Ltda;SP;NHK - Enterprises Inc.;Japão;02;
VIDEO SAA;Documentário Institucional;11/02/2014 a 13/02/2014;Stadium Pa Áudio e Vídeo Ltda Epp;SP;Paul Anthony Childs Kroeker;Equador;02;
THE WORLD HERITAGE 4K PREMIUM EDITION;Documentário;05/02/2014 a 20/03/2014;Sango Productions Ltda;SP;TBS Vision Ltda;Japão;05;
ENGESSADO/ IS THIS LOVE;Publicitária;15/01/2014 a 21/01/2014;Zulu Filmes Ltda.;SP;-;-;02;
UHD TV;Publicitária;21/01/2014 a 21/02/2014;Zohar Cinema e Comunicação Ltda;RJ;Keystone Films;França;19;
PROGRAMA 60 MINUTES;Documentário;14/02/2014 a 28/02/2014;Neon Rio Ltda;RJ;Nine Network Australia;Austrália;04;
DER MAINZER STADTSCHREIBER;Documentário;14/02/2014 a 25/02/2014;Sol Entertainment Ltda;RJ;Zweites Deutsches Fernsehen;Alemanha;02;
DESERTO;Ficção;27/01/2014 a 08/03/2014;Bananeira Filmes Ltda;RJ;-;-;01;
PLANET UFO;Documentário;16/02/2014 a 4/03/2014;Brian M. Sewell Produções Cinematográficas;RJ;Pioneer Productions;Reino Unido;04;
FISHING ADVENTURER / MORDU DE LA PÊCHE;Documentário;16/02/2014 a 07/03/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;Fishing Adventurer Productions 4 Inc.;Canadá;02;
LIFESAVER;Publicitária;06/02/2014 a 17/02/2014;Paranoid Brasil Ltda;SP;-;-;01;
EIN REISE MIT EINEM STUTTGARTER KABARETTISTEN, DER IN BRASILIEN GEBOREN IST;Documentário;16/02/2014 a 16/03/2014;Sol Entertainment Ltda;RJ;Südwestrundfunk;Alemanha;02;
