Listagem de Projetos Contemplados e Valores - Editais de Coprodução Internacional - 2005 a 2016;;;;;;;;;;
;;;;;;;;;;
Ano do Edital;Edital;Modalidade;CPB;Título;Direção;CNPJ;Empresa Produtora Brasileira;UF;Empresa Coprodutora Estrangeira;Investimento
2011;Brasil-Argentina;Coprodução Majoritária Brasileira;B1301910400000;Al oeste del fin del mundo;Paulo Nascimento;05.270.790/0001-49;Accorde Filmes;RS;Bufo Films SRL;"""$50.000,00"""
2011;Brasil-Argentina;Coprodução Minoritária Brasileira;B1301971700000;A Sorte em suas Mãos;Daniel Burman;01.378.559/0001-12;Gullane;SP;BDCine SRL;"""$200.000,00"""
2011;Brasil-Argentina;Coprodução Minoritária Brasileira;B1301945700000;"""Habi, la Extranjera""";María Florencia Alvarez;31.179.864/0001-46;Videofilmes;RJ;Lita Stantic Producciones;"""$200.000,00"""
2012;Brasil-Argentina;Coprodução Majoritária Brasileira;B1700571300000;Happy Hour;Eduardo Albergaria;05.256.465/0001-21;Urca Filmes;RJ;Haddock Films;"""$50.000,00"""
2012;Brasil-Argentina;Coprodução Majoritária Brasileira;B1700088100000;Pela Janela;Caroline Leone;66.876.707/0001-74;Dezenove Som e Imagens;SP;Rizoma SRL;"""$50.000,00"""
2012;Brasil-Argentina;Coprodução Minoritária Brasileira;B1302055400000;Coração de Leão;Marcos Carneval;07.953.592/0001-05;Unfinished Business Produções;RJ;Aleph Media S.A;"""$200.000,00"""
2012;Brasil-Argentina;Coprodução Minoritária Brasileira;B1402130700000;El Ardor;Pablo Fendrik;02.140.120/0001-10;Bananeira Filmes;RJ;Magma Cine SRL;"""$200.000,00"""
2013;Brasil-Argentina;Coprodução Majoritária Brasileira;B1500335800000;Divã 2;Paulo Fontenelle;02.863.008/0001-07;Total Entertainment;RJ;Aleph Media S.A;"""$50.000,00"""
2013;Brasil-Argentina;Coprodução Majoritária Brasileira;B1500651700000;"""Mate-me, por favor""";Anita da Rocha Silveira;02.140.120/0001-10;Bananeira Filmes;RJ;Rei Cine SRL;"""$50.000,00"""
2013;Brasil-Argentina;Coprodução Minoritária Brasileira;B1800307200000;Sueño Florianópolis;Ana Katz;00.020.648/0001-20;Prodigo Films;SP;Campo Cine S.R.L.;"""$250.000,00"""
2013;Brasil-Argentina;Coprodução Minoritária Brasileira;B1700600300000;Vergel;Kris Niklison;16.490.810/0001-03;Casadasartes Films;SP;Basata Filmes SRL/Maria Cristina Niklison;"""$250.000,00"""
2014;Brasil-Argentina;Coprodução Majoritária Brasileira;B1500812200000;Doidas e Santas;Paulo Thiago;03.626.688/0001-08;Melodrama Produções;RJ;Arco Libre S.R.L;"""$50.000,00"""
2014;Brasil-Argentina;Coprodução Majoritária Brasileira;B1800612900000;O Último Jogo;Roberto Studart;16.487.027/0001-90;Truque;BA;Crisálida Project SRL;"""$50.000,00"""
2014;Brasil-Argentina;Coprodução Minoritária Brasileira;B1600294100000;Paulina;Santiago Mitre;31.179.864/0001-46;Videofilmes;RJ;La Unión de Los Rios;"""$250.000,00"""
2014;Brasil-Argentina;Coprodução Minoritária Brasileira;B1700480900000;Zama;Lucrecia Martel ;02.140.120/0001-10;Bananeira Filmes;RJ;Rei Cine SRL;"""$250.000,00"""
2015;Brasil-Argentina;Coprodução Majoritária Brasileira;B1800262800000;A Voz do Silêncio;André Ristum;04.687.576/0001-20;Sombumbo Filmes;SP;Ajimolido Filmes/Movimiento Audiovisual S.R.L;"""$50.000,00"""
2015;Brasil-Argentina;Coprodução Majoritária Brasileira; -;O Livro dos Prazeres;Marcela Lordy;06.323.379/0001-57;Big Bonsai;SP;Rizoma SRL;"""$50.000,00"""
2015;Brasil-Argentina;Coprodução Minoritária Brasileira;B1700243800000;Esteros;Papu Curotto;03.112.121/0001-13;Latina Estudio;SP;Grupo Mulata SRL/Hain Cine SRL;"""$250.000,00"""
2015;Brasil-Argentina;Coprodução Minoritária Brasileira;B1700462900000;Uma Espécie de Família;Diego Lerman;07.477.471/0001-34;Bossa Nova Films;SP;Campo Cine S.R.L.;"""$250.000,00"""
2008;Brasil-Galícia;Coprodução Majoritária Brasileira;B1500711400000;Beatriz;Alberto Graça;27.920.016/0001-79;Mpc Filmes;RJ;Ficción Producciones S.L;"""300000"""
2008;Brasil-Galícia;Coprodução Minoritária Brasileira;B1201596000000;O Sexo dos Anjos;Xavier Villaverde (Espanha);64.534.456/0001-14;Stopline Films Brasil;SP;Continental Producciones SL;"""300000"""
2009;Brasil-Galícia;Coprodução Minoritária Brasileira - Documentário;B1301934600000;Brasil Somos Nós;Robert Bellsolà;07.477.471/0001-34;Bossa Nova Films;SP;Keltia Produccións S.L;"""100000"""
2009;Brasil-Galícia;Coprodução Minoritária Galega - Ficção;B1101461100000;Onde Está a Felicidade?;Carlos Alberto Riccelli;56.839.830/0001-61;Pulsar Produções Artísticas e Culturais S.A.;SP;Filmanova Invest S.A.;"""120000"""
2010;Brasil-Itália;Linha A - Produção de Curta Metragem; -;Ladrões de Ladri di Biciclette;Murilo Rocha Seabra;37.981.206/0001-50;Asacine Produções Ltda. EPP;DF; -;"""5000"""
2010;Brasil-Itália;Linha B - Desenvolvimento de Projeto de Autor Iniciante; -;Filhos da pista;André Carvalho Finotti;03.112.121/0001-13;Prodigital Latina Estudio Filmes Ltda.;SP; -;"""2000"""
