"""Valores Recolhidos - Art. 3ºA da Lei 8.685/93 -  Em Reais (R$) - 2009 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Remetente""";"""Empresa Estrangeira Contribuinte""";"""Valor (R$)"""
"""2017""";"""CONDÉ INTERNATIONAL INTERMEDIAÇÃO DE NEGÓCIOS LTDA.""";"""PARAMOUNT SPAIN SL""";"""5502,87"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""ARTE FRANCE""";"""11165,06"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""CPB INTERNATIONAL""";"""1424,1"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""DOC & FILM INTERNATIONAL S.A.""";"""694,68"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""FRANCE TELEVISION DISTRIBUTION""";"""276,32"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""LAGARDÈRE STUDIOS DISTRIBUTION""";"""460,53"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""PARAMOUNT SPAIN SL""";"""2875,14"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""PBS - PUBLIC MEDIA DISTRIBUTION, LLC""";"""3986,51"""
"""2017""";"""CURTA! PROGRAMADORA DE CANAIS DE TV LTDA""";"""SWEDISH FILM INSTITUTE""";"""865,93"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""AUTLOOK FILM SALES""";"""393,08"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""B4 ADVISORY UK""";"""578756,96"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""DENTSU SPORTS EUROPE LTD""";"""4025,95"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""DORNA WSBK ORGANIZATION, S.R.L.""";"""60712,85"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""ENJOY TELEVISION, S.L.""";"""63980,53"""
