"""Valores Recolhidos Por Mecanismo de Incentivo - Em Reais (R$) - 2002 a 2017""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;"""2017""";"""2016""";"""2015""";"""2014""";"""2013""";"""2012""";"""2011""";"""2010""";"""2009""";"""2008""";"""2007""";"""2006""";"""2005""";"""2004""";"""2003""";"""2002"""
"""Art.39 MP 2.228-1/01""";"""80838457,07""";"""80334555,68""";"""71447792,32""";"""67426613,21""";"""56359067,3""";"""41605321,15""";"""32713705,74""";"""25952036,71""";"""22334229,29""";"""16665048,55""";"""14449768,59""";"""12881628,08""";"""14273099,09""";"""19207246,1""";"""14229599""";"""0"""
"""Art.3º da Lei 8.685/93""";"""88891838,83""";"""57659727,83""";"""36676373,27""";"""42636297,12""";"""38832896,52""";"""46837608,53""";"""39458395,09""";"""40423197,15""";"""35431718,89""";"""30317881,65""";"""40986321,69""";"""58476706,99""";"""48888213,59""";"""49333108,19""";"""41694075,24""";"""1683201,5"""
"""Art.3ºA da Lei 8.685/93""";"""175726965,95""";"""176714123,88""";"""144901112,85""";"""89944179,87""";"""81933506,62""";"""43828781,94""";"""43722349,78""";"""47978296,6""";"""14622103,99""";"""0""";"""0""";"""0""";"""0""";"""0""";"""0""";"""0"""
"""Total""";"""345457261,85""";"""314708407,39""";"""253025278,44""";"""200007090,2""";"""177125470,44""";"""132271711,62""";"""115894450,61""";"""114353530,46""";"""72388052,17""";"""46982930,2""";"""55436090,28""";"""71358335,07""";"""63161312,68""";"""68540354,29""";"""55923674,24""";"""1683201,5"""
;;;;;;;;;;;;;;;;
"""Créditos/Remessas para o Exterior - Em Reais (R$) - 2002 a 2017""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
;;;;;;;;;;;;;;;;
;"""2017""";"""2016""";"""2015""";"""2014""";"""2013""";"""2012""";"""2011""";"""2010""";"""2009""";"""2008""";"""2007""";"""2006""";"""2005""";"""2004""";"""2003""";"""2002"""
"""Art.39 MP 2.228-1/01""";"""2696051744,09""";"""2991775803,81""";"""3381713839,02""";"""3379845334,45""";"""4687050742,43""";"""5584921981,78""";"""2746711456,1""";"""821228622,72""";"""668905253,05""";"""555502188,54""";"""481659532,58""";"""429391134,98""";"""475769966,17""";"""640241526,03""";"""474319963,21""";"""0"""
"""Art.3º da Lei 8.685/93""";"""638419121,97""";"""353000155,05""";"""277001636,01""";"""388287097,28""";"""372832864""";"""420886092,73""";"""356679476,69""";"""360590676,95""";"""314040489,6""";"""285921744,55""";"""371372810,1""";"""505634703,03""";"""404823809,98""";"""413912641,97""";"""348778013,55""";"""14384419,18"""
"""Art.3ºA da Lei 8.685/93""";"""1708021890,75""";"""1593298875,63""";"""1315195192,03""";"""821645962,34""";"""760462843,51""";"""415271669,67""";"""540971271,16""";"""402346822,26""";"""63075429,66""";"""0""";"""0""";"""0""";"""0""";"""0""";"""0""";"""0"""
"""Total""";"""5042492756,81""";"""4938074834,49""";"""4973910667,06""";"""4589778394,07""";"""5820346449,94""";"""6421079744,18""";"""3674054691,65""";"""1627687446,9""";"""1121639227,37""";"""841423933,09""";"""853032342,68""";"""935025838,01""";"""880593776,15""";"""1054154168""";"""823097976,76""";"""14384419,18"""
;;;;;;;;;;;;;;;;
"""Fonte: ANCINE (Superintendência de Fomento - SFO).""";;;;;;;;;;;;;;;;
"""2017: Sistema de Arrecadação de Benefícios Fiscais (SABF) em 16/04/2018.""";;;;;;;;;;;;;;;;
"""2016: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 19/04/2017.""";;;;;;;;;;;;;;;;
"""2015: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 06/05/2016.""";;;;;;;;;;;;;;;;
"""2002 a 2014: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 28/09/2015.""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
"""Observações:""";;;;;;;;;;;;;;;;
"""1. Considera-se como Crédito/Remessa para o Exterior o pagamento, o crédito, o emprego, a remessa ou a entrega, aos produtores, distribuidores ou intermediários no exterior, de importâncias relativas a rendimento decorrente da exploração de obras cinematográficas e videofonográficas ou por sua aquisição ou importação, a preço fixo, não sendo considerados os créditos/remessas das empresas estrangeiras que fizeram o pagamento da CONDECINE de 11%, conforme previsto no parágrafo único, do Artigo 32 da MP 2.228-1/01.""";;;;;;;;;;;;;;;;
"""2. Dentre as opções de Créditos/Remessas para o Exterior, existe a “Opção Conjunta pelo Art.39 MP 2.228-1/01 e Art.3ºA da Lei 8.685/93”. Essa opção foi utilizada nos anos de 2009, 2010 e 2011, com os respectivos valores: R$ 75.618.055,06, R$ 43.521.324,97 e R$ 29.692.487,70. Esses valores constam na soma do total dos respectivos anos.""";;;;;;;;;;;;;;;;
"""3. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.""";;;;;;;;;;;;;;;;
"""""";;;;;;;;;;;;;;;;
"""Elaboração: Coordenação do Observatório do Cinema e do Audiovisual. Publicado em 04/06/2018.""";;;;;;;;;;;;;;;;
