"""Valores Recolhidos por Programadora - Art. 39 da MP 2.228-1/01 - Em Reais (R$) - 2003 a 2017""";;
;;
"""Ano de Recolhimento""";"""Programadora Estrangeira""";"""Valor (R$)"""
"""2017""";"""ALL TV COMMUNICATIONS S.A.""";"""153,08"""
"""2017""";"""AMC NETWORKS LATIN AMERICA LLC""";"""365768,22"""
"""2017""";"""BBC WORLDWIDE LIMITED""";"""33367,43"""
"""2017""";"""BLOOMBERG L.P.""";"""99,41"""
"""2017""";"""BRASIL DISTRIBUTION, L.L.C.""";"""30752258,79"""
"""2017""";"""BUENA VISTA INTERNACIONAL, INC""";"""2705913,41"""
"""2017""";"""DISCOVERY LATIN AMERICA LLC""";"""30855,58"""
"""2017""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""7858859,87"""
"""2017""";"""DISCOVERY NETWORKS, SL""";"""6254295,19"""
"""2017""";"""EUROCHANNEL""";"""7608,18"""
"""2017""";"""FNLA, LCC""";"""2092,37"""
"""2017""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""14491826,01"""
"""2017""";"""KABUSHIKI GAISHA NIPPON KOKUSAI HOSO""";"""16638,85"""
"""2017""";"""MTV NETWORKS LATIN AMERICA INC.""";"""2816762,33"""
"""2017""";"""SCRIPPS NETWORKS INTERACTIVE, INC""";"""90294,34"""
"""2017""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""15299971,86"""
"""2017""";"""TV5 MONDE""";"""111692,15"""
"""2016""";"""ALL TV COMMUNICATIONS S.A.""";"""6720,97"""
"""2016""";"""AMC NETWORKS LATIN AMERICA LLC""";"""348265,71"""
"""2016""";"""BBC WORLDWIDE LIMITED""";"""37750,94"""
"""2016""";"""BLOOMBERG L.P.""";"""2355,24"""
"""2016""";"""BRASIL DISTRIBUTION, L.L.C.""";"""31618938,13"""
"""2016""";"""BUENA VISTA INTERNACIONAL, INC""";"""1825903,06"""
"""2016""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""9752896,67"""
"""2016""";"""DISCOVERY NETWORKS, SL""";"""3012208,53"""
"""2016""";"""DLA, INC.""";"""1044933,39"""
"""2016""";"""EUROCHANNEL""";"""13218,9"""
"""2016""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""13857379,83"""
"""2016""";"""KABUSHIKI GAISHA NIPPON KOKUSAI HOSO""";"""28128,15"""
"""2016""";"""MTV NETWORKS LATIN AMERICA INC.""";"""2205543,31"""
"""2016""";"""PRAMER SCA""";"""7900,8"""
"""2016""";"""SCRIPPS NETWORKS INTERACTIVE, INC""";"""84017,01"""
"""2016""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""16473989,15"""
"""2016""";"""TV5 MONDE""";"""14405,89"""
"""2015""";"""ALL TV COMMUNICATIONS S.A.""";"""8544,16"""
"""2015""";"""AMC NETWORKS LATIN AMERICA LLC""";"""322132,24"""
"""2015""";"""BBC WORLDWIDE LIMITED""";"""15260,05"""
"""2015""";"""BLOOMBERG L.P.""";"""4921,82"""
"""2015""";"""BRASIL DISTRIBUTION, L.L.C.""";"""28595177,4"""
"""2015""";"""BUENA VISTA INTERNATIONAL, INC""";"""1447912,93"""
"""2015""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""10575738,16"""
"""2015""";"""DISCOVERY NETWORKS, SL""";"""1250151,67"""
"""2015""";"""DLA, INC.""";"""550856,75"""
"""2015""";"""EUROCHANNEL""";"""18853,72"""
"""2015""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""11158039,8"""
