Listagem de projetos contemplados e valores – Programa Ibermedia 2004 a 2019;;;;;;;;
;;;;;;;;
Ano do Edital;Modalidade;Projeto;Certificado de Produto Brasileiro (CPB);CNPJ;Empresa Brasileira Beneficiária no Ibermedia;UF;Participação Patrimonial;Valor (US$)
2019;Coprodução;Animal Print; -;07.525.577/0001-66;Anavilhana Filmes Ltda - ME;MG;Coprodução Brasil Minoritário;60.000,00
2019;Coprodução;Livramento; -;09.505.106/0001-11;Arissas Multimídia Ltda;RJ;Coprodução Brasil Majoritário;90.000,00
2019;Coprodução;Bestia; -;08.345.658/0001-47;Artesã Comunicação e Filmes Ltda - ME;RJ;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;El Baile De Los 41; -;02.140.120/0001-10;Bananeira Filmes Ltda;RJ;Coprodução Brasil Minoritário;55.760,00
2019;Coprodução;Los Brujos; -; 03.112.121/0001-13;Cine Latina Estudio EIRELI - EPP;SP;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;Il Barbiere Della Marina; -;13.110.657/0001-53;Media Bridge Produções Ltda.;RJ;Coprodução Brasil Minoritário;76.964,00
2019;Coprodução;Ese Fin De Semana; -;15.588.308/0001-77;Persona Non Grata Pictures - Produções e Projetos Cinematográficos Ltda - ME;SP;Coprodução Brasil Minoritário;70.000,00
2019;Coprodução;Sucedió En Enero; -;74.107.475/0001-18;Plural Filmes;RJ;Coprodução Brasil Minoritário;52.000,00
2019;Coprodução;La Inversión De La Carga; -;11.545.487/0001-04;Querosene Filmes;SP;Coprodução Brasil Minoritário;60.000,00
2019;Coprodução;A Bela América; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;Variaciones De Koch; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2019;Coprodução;Quando Minha Vida Era Minha Vida; -;52.858.982/0001-50;Superfilmes;SP;Coprodução Brasil Majoritário;70.000,00
2019;Coprodução;Casa no Campo; -;10.468.552/0001-82;Tokyo Films Ltda.;RS;Coprodução Brasil Majoritário;50.000,00
2019;Coprodução;Ladrilleros; -;23.189.788/0001-21;Valkyria Cine Eireli - ME;RJ;Coprodução Brasil Majoritário;40.000,00
2019;Desenvolvimento;Tempo de Poder; -;24.947.308/0001-07;Caliandra Flor Produções Artísticas Ltda -ME;GO; -;7.000,00
2019;Desenvolvimento;Tempestade; -;03.746.956/0001-25;Coala Produções Audiovisuais Ltda;SP; -;11.100,00
2019;Desenvolvimento;Manas; -;07.501.094/0001-21;Mariola Filmes e Produções Ltda.;PE; -;8.600,00
2019;Desenvolvimento;Náufragos; -;05.436.489/0001-62;Refinaria Produções Ltda;RJ; -;7.000,00
2019;Formação;BR Lab; -;09.397.798/0001-21;Klaxon Cultura Audiovisual Ltda-Me;SP; -;34.700,00
2018;Coprodução;Las Vacaciones De Hilda; -;09.505.106/0001-11;Arissas Multimídia Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;L'Educazione Della Nonna; -;08.790.022/0001-04;Beleza! Conteudo;SP;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;La Botera; -;14.150.761/0001-34;Besouro de Ouro;RJ;Coprodução Brasil Minoritário;80.000,00
2018;Coprodução;Pedro; -;02.238.621/0001-33;Buriti Filmes;SP;Coprodução Brasil Majoritário;90.000,00
2018;Coprodução;Centro da Terra; -;12.658.679/0001-90;Desvia Ltda;PE;Coprodução Brasil Majoritário;100.000,00
2018;Coprodução;Deserto Particular; -;09.437.566/0001-50;Grafo Audiovisual Ltda Me;PR;Coprodução Brasil Majoritário;90.522,00
2018;Coprodução;Verdes Campos; -;09.437.566/0001-50;Grafo Audiovisual Ltda Me;PR;Coprodução Brasil Minoritário;100.000,00
2018;Coprodução;El Fantasma; -;05.572.253/0001-53;Lente Viva Filmes Ltda - EPP;SP;Coprodução Brasil Minoritário;70.000,00
2018;Coprodução;La Erección De Toribio Bardelli; -;10.615.584/0001-63;Moinhos de Filme;RJ;Coprodução Brasil Minoritário;70.464,00
