TITULO_ORIGINAL;CPB;NUMERO_SALIC
""" A PRIMEIRA MISSA""";B1301902100000;030147
"""DESCOSTURANDO COM HERCHCOVITCH"" TEMPORADA 2";B2400134000000;220359
#DEIXAELA;B2300211800000;210121
#MECHAMADEBRUNA;B1600534500000;130332
#MECHAMADEBRUNA - 2ª TEMPORADA;B1700474600000;160821
#MECHAMADEBRUNA - 3ª TEMPORADA;B1800489100000;180045
#MECHAMADEBRUNA - 4A TEMPORADA;B1900548000000;190002
#MECHAMADEBRUNA - TELEFILME;B1800072200000;170481
#MECHAMADEBRUNA - VERDADES E MENTIRAS;B1700066700000;150540
#OFUTUROÉFEMININO;B1900089900000;180949
#SALVEROSA;B2500337500000;230433
(DES)CONTROLE;B2500365100000;220803
(DES)ENCONTROS - 2A TEMPORADA;B1800301000000;150150
(IN)VULNERÁVEIS;B2500492000000;220530
+ AMOR;B2000526600000;110417
+ FILMES;B1301933200000;050242
1,99 UM SUPERMERCADO QUE VENDE PALAVRAS;B0400055700000;011990
1,99 UM SUPERMERCADO QUE VENDE PALAVRAS;B0400055700000;024173
10 HORAS PARA O NATAL;B2000488900000;180031
10 SEGUNDOS PARA VENCER;B1800380700000;150157
10 SEGUNDOS PARA VENCER SÉRIE;B1800611900000;150157
100 ANOS DE SELEÇÃO BRASILEIRA;B1402149500000;130431
12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE;B1402089200000;100550
12 MOEDAS;B2000180800000;170599
13 MINUTOS;B0901088500000;050053
1538°C - THE IRON HUMAN;B2400262600000;200130
171;B2200317100000;150047
171 - NEGÓCIO DE FAMÍLIA;B1700079500000;130221
1958 O ANO EM QUE O MUNDO DESCOBRIU O BRASIL;B0800873400000;030039
1972;B0600599800000;984629
1976 - O ANO DA INVASÃO CORINTHIANA;B1600603300000;120133
1981 - O ANO RUBRO NEGRO;B1201605000000;100581
2 FILHOS DE FRANCISCO: A HISTÓRIA DE ZEZÉ DI CAMARGO E LUCIANO;B0500302600000;030249
21 MÃO NA CABEÇA;B2000494000000;140056
23 ANOS EM 7 SEGUNDOS: 1977 - O FIM DO JEJUM CORINTHIANO;B0901028800000;090025
24 HORAS PARA REDECORAR – 2ª TEMPORADA;B2200401100000;200090
24 HORAS PARA REDECORAR – 3ª TEMPORADA;B2300290700000;200089
3 OBÁS DE XANGÔ;B2500005500000;200039
30 SEGUNDOS;B2100460300000;180809
31 MINUTOS;B1201568300000;060215
4 X TIMÃO - A CONQUISTA DO TETRA;B1101416000000;090278
400 CONTRA 1;B1001259800000;030255
