TITULO_ORIGINAL;CPB;NUMERO_CONTRATO_FSA
""" A PRIMEIRA MISSA""";B1301902100000;0212037800
"""EL HOMBRE QUE CUIDA""";B1800115900000;1237
#FALAGALERA;B1700424900000;000547
#FALASÉRIO!;B2500287100000;03051
#PARTIUBRASIL;B1700178200000;00498
#SALVEROSA;B2500337500000;05210
(DES)CONTROLE;B2500365100000;05217
(DES)CONTROLE;B2500365100000;05284
(DES)CONTROLE;B2500365100000;05285
(DES)CONTROLE;B2500365100000;05423
(DES)CONTROLE;B2500365100000;05424
(IN)VISÍVEL;B2400325900000;04359
/LOST+FOUND;B2200066100000;02396
10 SEGUNDOS PARA VENCER;B1800380700000;1336
10 SEGUNDOS PARA VENCER SÉRIE;B1800611900000;1336
101 CANÇÕES;B1900593500000;02677
101 CANÇÕES;B1900593500000;1556
13 CANÇÕES PARA ENTENDER O SAMBA;B1800416100000;00627
13 CANÇÕES PARA FALAR DO SERTANEJO;B2300026200000;02735
13 SENTIMENTOS;B2400158500000;04039
137;B1800314700000;00706
171;B2200317100000;02950
171 - NEGÓCIO DE FAMÍLIA;B1700079500000;00359
171 - NEGÓCIO DE FAMÍLIA;B1700079500000;00846
1798 REVOLTA DOS BÚZIOS;B1800307800000;00638
1961;B2500084500000;04682
1968 - O DESPERTAR;B1900050000000;02100
1968 UM ANO NA VIDA;B2300271800000;04047
1986;B2400171300000;03844
1999 - A CONQUISTA DA AMÉRICA;B2200063900000;03838
3 REFEIÇÕES;B1800497500000;01093
45 DO SEGUNDO TEMPO;B2100362100000;01376
45 DO SEGUNDO TEMPO;B2100362100000;02194
5 CASAS;B2000263300000;02203
5 CASAS;B2000263300000;0988
50 ANOS DO BALÉ DA CIDADE DE SÃO PAULO;B1900423500000;02645
50 ANOS EM CENA;B2200498900000;02916
8 PRESIDENTES 1 JURAMENTO - A HISTÓRIA DE UM TEMPO PRESENTE;B2100460000000;02335
8 PRESIDENTES 1 JURAMENTO - A HISTÓRIA DE UM TEMPO PRESENTE;B2100460000000;03380
8 SEGUNDOS – O DESAFIO;B2500325600000;05326
80 ANOS;B2000223500000;02407
A ALMA QUER VOAR;B2100203300000;02803
A ARCA DO ZIRALDO;B2500178600000;04666
A ARTE DE VER O INVISIVEL;B2000210600000;02096
A ARTE DE VER O INVISIVEL;B2000210600000;02097
A ARTE DO CINEMA;B1800495300000;1647
A ARTE URBANA;B1900471700000;1586
A BAHIA DE CARYBÉ;B2500521500000;04479
A BAHIA ME FEZ ASSIM;B2500038600000;04400
A BARQUEIRA;B2000556700000;03233
A BATALHA DA RUA MARIA ANTÔNIA;B2400015800000;02976
A BATALHA DE SHANGRI-LÁ;B1900494600000;02471
A BATALHA DE SHANGRI-LÁ;B1900494600000;1633
A BICICLETA DO VOVÔ, A SÉRIE;B1700452300000;00621
A BRUXINHA LILI;B1900496000000;1644
A BUSCA;B1301751900000;0213020000
A BÊNÇÃO;B2000338200000;01990
A CABEÇA DE GUMERCINDO SARAIVA;B1800469700000;00530
A CABEÇA DE GUMERCINDO SARAIVA;B1800469700000;02330
A CAPITAL DO BASQUETE;B2500537400000;05070
A CARA DO FUTURO;B1700110500000;00377
A CARA DO FUTURO - TEMPORADA 2;B1900074300000;1748
A CARA DO MUNDO;B1700082700000;00508
A CASA DO ELEFANTE;B2500010400000;01673
A CAVERNA DE ESTELA;B2200145800000;03423
A CHAVE - 2ª TEMPORADA;B1800121800000;1161
A CHAVE TERCEIRA TEMPORADA;B2300399100000;03166
A CIDADE DO FUTURO;B1600756100000;916
A CIDADE DO FUTURO TV;B1900371300000;00916
A CIDADE DOS ABISMOS;B1900611200000;02641
A CIDADE DOS PIRATAS;B1800516900000;01490
A CIDADE DOS PIRATAS;B1800516900000;0212019400
A COBRA NEGRA;B2500287300000;04836
A COLMEIA;B1900117400000;00856
A COMÉDIA DIVINA;B1600439300000;00005
A CONSPIRAÇÃO CONDOR;B2600061700000;05415
A CRIANÇA QUE EXISTE EM VOCÊ;B2100058600000;02755
A CRUCIGRAMISTA - 2ª TEMPORADA;B1900542900000;02745
A CÁPSULA;B2400156200000;04433
A DIVISÃO - O FILME;B1900592900000;1687
A DONA DA BANCA;B2300352600000;01858
A DONA DA BANCA;B2300352600000;4378
A ENTREGA;B2300549200000;04262
A ESCOLA DOS MISTÉRIOS;B1700141400000;00483
A ESPERA DE LIZ;B2000294200000;01922
A ESPERANÇA É A ÚLTIMA QUE MORRE;B1500554400000;0213018500
A ESTAÇÃO;B2300257900000;02974
A ESTRADA 47;B1402125800000;0211011400
A EVOLUÇÃO DO COSPLAY;B2400316200000;04452
A FAMÍLIA SUBMERSA;B1800358900000;1356
A FEBRE;B1900486200000;1508
A FELICIDADE DAS COISAS;B2200146400000;02622
A FESTA DE LÉO;B2300440300000;03036
A FESTA DE LÉO;B2300440300000;04003
A FILHA DO PALHAÇO;B2300468500000;03231
A FINADA MÃE DA MADAME;B1600630700000;00694
A FLECHA E A FARDA;B2000114900000;01932
A FLOR DO BURITI;B2300570500000;04276
A FLORESTA QUE SE MOVE;B1500591500000;0213008800
A FRENTE FRIA QUE A CHUVA TRAZ;B1600109600000;117027
A FURIA;B2500320000000;02173
A FURIA;B2500320000000;4780
A GAROTA DA MOTO;B1600137800000;00297
A GAROTA DA MOTO – SEGUNDA TEMPORADA;B1900047500000;01977
A GAROTA DA MOTO – SEGUNDA TEMPORADA;B1900047500000;02308
A GLÓRIA E A GRAÇA;B1600585400000;0082
A GRANDE IDEIA BRASIL;B1201583700000;0211027200
A GRANDE VIAGEM;B1101430900000;0213002200
A GRANDE VIAGEM - A SÉRIE;B1402546500000;0213002200
A GUERRA DA LAGOSTA;B2300365000000;01729
A HISTÓRIA DAS VACINAS;B2500413900000;04924
A HISTÓRIA DO MEU NOME;B2000184900000;02254
A HORA E A VEZ DE AUGUSTO MATRAGA;B1201643000000;0210055400
A ILHA DOS ILÚS;B2200405700000;00551
A JANGADA DE WELLES;B1900093000000;1213
A LASANHA ASSASSINA - A REVOLTA DAS MASSAS;B2200291400000;00820
A LASANHA ASSASSINA - A REVOLTA DAS MASSAS;B2200291400000;03085
A LASANHA ASSASSINA - A REVOLTA DAS MASSAS;B2200291400000;1752
A LEI DO RISO - CRIMES BIZARROS;B1800410100000;1682
A LETRA DO PIFE;B2400410500000;04647
A LINGUAGEM DO CINEMA - SÉRIE II;B1700263000000;00077
A LUTA DE MAYCON;B2100323800000;02377
A LUZ DE MÁRIO CARNEIRO;B2100035200000;02873
A LUZ NA ESCURIDÃO;B2100075200000;02831
A MANSÃO MALUCA DO PROFESSOR AMBRÓSIO - TEMPORADA 4;B1500497300000;00070
A MARAVILHA DO SÉCULO;B1900585300000;1653
A MATRIARCA;B2400487500000;02435
A MEMÓRIA PERIGOSA - A POLÍTICA INDIGENISTA NOS ANOS DE CHUMBO;B2100165900000;01893
A MEMÓRIA QUE ME CONTAM;B1201661300000;0211013900
A MENINA DE OURO;B2100313500000;02815
A MENINA E O FLAUTISTA;B2400170700000;03435
A MENINA ÍNDIGO;B1700428000000;00624
A MESMA PARTE DE UM HOMEM;B2000523200000;02604
A MESMA PARTE DE UM HOMEM;B2000523200000;02606
A METADE DE NÓS;B2200246300000;02086
A METADE DE NÓS;B2200246300000;02197
A MISS;B2500289600000;04847
A MORTE HABITA À NOITE;B2000096300000;1229
A MORTE HABITA À NOITE;B2000096300000;1234
A MOÇA DO CALENDÁRIO;B1700605000000;01068
A MULHER DA LUZ PRÓPRIA;B1900320300000;1128
A MULHER DO MEU MARIDO;B1800089700000;1408
A MULHER DO MEU MARIDO;B1800089700000;1409
A MULHER DO MEU MARIDO;B1800089700000;1410
A MULHER QUE CHORA;B2400112500000;03995
A MULHER QUE CHORA;B2400112500000;04002
A MULHER QUE CHORA;B2400112500000;04734
A MULHER SEM CHÃO;B2300451700000;2217
A MÃE;B2100364800000;03114
A MÃE DE TODAS AS LUTAS;B2000069400000;01923
A NATUREZA DAS COISAS INVISÍVEIS;B2500269500000;04957
A NAÇÃO QUE NÃO ESPEROU POR DEUS;B1500105700000;00014
A NOITE AMARELA;B1900249100000;02300
A NOITE AMARELA;B1900249100000;1189
A NOITE DA VIRADA;B1402723400000;00087
A NOITE DE ALAIDE;B2600000100000;05066
A NOSSA BANDEIRA JAMAIS SERÁ VERMELHA;B2000108600000;01838
A NUVEM;B1800425700000;00722
A NUVEM ROSA;B2100113900000;02877
A OLIMPÍADA PASSOU POR AQUI;B1600765300000;00130
A OUTRA PELE;B2000043400000;02147
A PAIXÃO SEGUNDO G.H;B2000312200000;00879
A PALESTINA BRASILEIRA;B1700561500000;00799
A PEDRA E A CACHOEIRA;B2500366300000;04242
A PEDRA E A PALAVRA - PADRE ANTÔNIO VIEIRA;B2200127900000;02644
A PERSISTÊNCIA DA MEMÓRIA;B2300405500000;03219
A PLANTA;B2500354600000;05416
A PORTA AO LADO;B2200325000000;02556
A PORTA AO LADO;B2200325000000;02584
A PORTA AO LADO;B2200325000000;04035
A PRIMEIRA MORTE DE JOANA;B2100282100000;03028
A PRINCESA DA YAKUZA;B2100271200000;03217
A PRINCESA DE ELYMIA;B1800458500000;02120044900
A PROCURA DE MARTINA;B2500132800000;04802
A PROFESSORA DE MÚSICA;B1700012000000;00603
A QUEDA;B2100349700000;02205
A QUEM INTERESSA A IGNORÂNCIA?;B1900597000000;03234
A QUEM INTERESSA A IGNORÂNCIA?;B1900597000000;1463
A RAINHA E SEUS REIS DE BARRO;B2100328100000;02793
A RAZÃO E A LOUCURA;B1600513600000;00042
A REVOLUÇÃO DO CINEMA NOVO;B1600019400000;00097
A RUPTURA;B2100075900000;02978
A SAGA DOS JUDEUS NO NORDESTE BRASILEIRO;B2300249900000;04377
A SECRETÁRIA DO PRESIDENTE;B1600650300000;00552
A SOGRA PERFEITA;B2000484000000;03308
A SOGRA PERFEITA 2;B2500192800000;247008
A SOMBRA DO PAI;B1700307900000;00296
A SUPERFÍCIE DA SOMBRA;B1700248900000;00993
A SUSPEITA;B2100432000000;02678
A SUSTENTÁVEL LEVEZA DO SER;B2300201700000;02935
A TERCEIRA ERA DO ESPIRITO SANTO: A FÉ, A FESTA E A UTOPIA;B2200040900000;02244
A TERRA E A VIDA;B1800028600000;01143
A TERRA FALA;B2400311500000;04482
A TERRA NEGRA DOS KAWA;B1900050700000;00974
A TERRA VERMELHA;B1600439400000;00416
A TORRE;B1800145300000;00383
A TRADICIONAL FAMÍLIA BRASILEIRA - KATU;B2000264700000;1626
A TROPA DE TRAPO - NA SELVA DO ARCO-ÍRIS;B1800131200000;00428
A UM GOLE DA ETERNIDADE;B2400036600000;04687
A VELHA HISTÓRIA DO MEU AMIGO NOVO;B1700222800000;00549
A VELHA MAGRELA E OS ÓCULOS-JANELA.;B1700213100000;00188
A VIAGEM DE PEDRO;B2100263400000;01511
A VIAGEM DE PEDRO;B2100263400000;03464
A VIDA DE CADA UM;B2500331100000;03207
A VIDA DE CADA UM;B2500331100000;04794
A VIDA EXTRA-ORDINÁRIA DE TARSO DE CASTRO;B1800115300000;00781
A VIDA INVISÍVEL;B1900366600000;2724
A VIDA INVISÍVEL;B1900366600000;2725
A VIDA INVISÍVEL;B1900366600000;2726
A VIDA NAS BACIAS HIDROGRÁFICAS DA REGIÃO SUDESTE;B1900247400000;1225
A VIDA SECRETA DAS GAMBIARRAS;B2500336300000;04729
A VIDA É DA COR QUE PINTAMOS;B2100535800000;02103
A VIGÉSIMA COLHEITA;B2500179400000;02903
A VIGÉSIMA COLHEITA;B2500179400000;1695
A VILÃ DAS NOVE;B2400339600000;03407
A VOZ DO SILÊNCIO;B1800262800000;00814
A VOZ DO VERBO ENCANTADO;B1900412100000;1603
A ÉTICA DAS HIENAS;B1900617900000;1550
A ÉTICA DO SILÊNCIO;B2300440000000;04133
A ÓPERA DOS SAPOS;B2400447300000;04512
A ÚLTIMA ABOLIÇÃO;B1800473500000;03546
A ÚLTIMA CHANCE;B1700329300000;00055
A ÚLTIMA CHANCE;B1700329300000;00755
A ÚLTIMA ESTAÇÃO;B1201614400000;0211018200
A ÚLTIMA FESTA;B2200343300000;03037
A ÚLTIMA FLORESTA;B2100065700000;01855
A ÚLTIMA FLORESTA;B2100065700000;01984
A ÚLTIMA FLORESTA;B2100065700000;03284
A ÚLTIMA GRAVAÇÃO;B2100109300000;02601
A ÚLTIMA VANGUARDA;B2200404500000;02625
A3;B2000428000000;02028
ABAIXO A GRAVIDADE;B1700222300000;00320
ABE;B2000497700000;1740
ABE;B2000497700000;1741
ABESTALHADOS 2;B2200124400000;03465
ABRE A COXIA;B2500050600000;04493
ABRE ALAS;B2500009100000;04573
ABÁ E SUA BANDA;B2400235800000;01815
ABÁ E SUA BANDA;B2400235800000;03058
ACEITO FOLIA;B1700014400000;00543
ACONTECEU NA QUARTA-FEIRA (DOPPELGANGER);B1900198800000;1593
ACORDA, AMOR;B2100332000000;02294
ACQUA MOVIE;B2000096500000;01298
ACQUA MOVIE;B2000096500000;01868
ACQUA MOVIE;B2000096500000;2954
ADA & RÓI;B1800536200000;01097
ADAM;B2400183400000;03426
ADEUS CAPITÃO;B2200214700000;02168
ADRIANA VAREJÃO - ENTRE CARNES E MARES;B2400060500000;03222
AFEMINADAS;B2400491400000;2962
AFINAL, QUEM É DEUS?;B1800134200000;01145
AGBARA DUDU - NARRATIVAS NEGRAS;B2000204300000;02420
AGBARA DUDU - NARRATIVAS NEGRAS (2ª TEMPORADA);B2600034800000;05074
AGENTES MUITO ESPECIAIS;B2500453200000;5280
AGENTES MUITO ESPECIAIS;B2500453200000;5281
AGENTES MUITO ESPECIAIS;B2500453200000;5282
AGENTES MUITO ESPECIAIS;B2500453200000;5448
AGENTES MUITO ESPECIAIS;B2500453200000;5449
AGRESTE;B2300247700000;01891
AGRESTE;B2300247700000;4101
AGRESTES;B2500183600000;04763
AGUDÁS - PASSAGEIROS DA HISTÓRIA;B2400164700000;03475
"AGUDÁS OS ""BRASILEIROS"" DO BENIN";B2300397500000;03880
AH, QUER SABER?!;B2400176100000;03167
AIKEWARA;B1700083900000;00382
AILTON KRENAK: O SONHO DA PEDRA;B1700530500000;00629
AINDA ESTOU VIVO;B2100304600000;02403
AINDA NÃO É AMANHÃ;B2500126800000;04322
AINDA SOMOS OS MESMOS;B2300379300000;04413
AINDA SOMOS OS MESMOS;B2300379300000;04754
AINDA TEMOS A IMENSIDÃO DA NOITE;B1900027100000;01495
ALASKA;B1900034500000;01866
ALBA E OS FANTASMAS;B2300013200000;03817
ALBATROZ;B1900019800000;1264
ALCE & ALICE;B1700542200000;00365
ALCEU VALENÇA - NA EMBOLADA DO TEMPO;B1900262100000;1731
ALDEIA NATAL;B2100306300000;03045
ALDEOTAS;B2200023200000;02574
ALEGORIAS DO BRASIL;B1800227200000;736
ALEGRIA DO AMOR;B2400088900000;02439
ALELUIA, O CANTO INFINITO DO TINCOÃ;B2000130700000;01920
ALEM DOS MUROS;B1800605000000;1257
ALEMÃO 2;B2200048000000;00960
ALGO NO ESPAÇO;B2300041200000;03939
ALGUÉM COMO EU;B1800130000000;0213019800
ALICE DOS ANJOS;B2200149500000;02041
ALICE JÚNIOR;B2000154900000;02947
ALIMENTANDO A ALMA;B2400007200000;03903
ALMA CLANDESTINA;B1900252400000;1330
ALMA DEL DESIERTO;B2400346300000;04663
ALMA EM MADEIRA;B2200415900000;03190
ALMA IMORAL, A SÉRIE;B1700201400000;00321
ALMA NEGRA - DO QUILOMBO AO BAILE;B2400212900000;04164
ALMANAQUE BRASIL - SÉRIE DE DOCUMENTÁRIOS;B2000489000000;02151
ALOHA MALANDRO;B2400390900000;04680
ALTAS EXPECTATIVAS;B1700162000000;424
ALTAS EXPECTATIVAS;B1700162000000;948
ALTERNATIVOS;B2400010400000;02473
ALUCINAÇÃO;B2500457000000;03982
ALVORADA;B2100156800000;03095
ALVORADA;B2100156800000;03096
ALÉM DA LENDA;B1700182400000;00477
ALÉM DA LENDA - FILME;B2000141100000;01914
ALÉM DE NÓS;B2200146300000;02665
ALÉM DO HOMEM;B1800166700000;00573
ALÉM DO HOMEM;B1800166700000;00778
ALÉM DO HOMEM;B1800166700000;01510
AMADEU;B2300491700000;3950
AMADO;B2200065000000;03241
AMADOS ENCONTROS;B2300139500000;02306
AMADOS ENCONTROS;B2300139500000;02307
AMANAJÉ, O MENSAGEIRO DO FUTURO;B1700431800000;00486
AMARRAÇÃO DO AMOR;B2000454300000;02083
AMAZON FASHION;B2000107100000;01949
AMAZONITA;B2300037600000;02276
AMAZÔNIA ANCESTRAL;B2500516500000;4929
AMAZÔNIA AZUL;B2400165900000;04362
AMAZÔNIA GROOVE;B1800459400000;1249
AMAZÔNIA LEGAL;B1800228000000;01119
AMAZÔNIA OCULTA;B2100003100000;01859
AMAZÔNIA OCUPADA;B1900132700000;00466
AMAZÔNIA OKTOBERFESTA;B2500232100000;04554
AMAZÔNIA PANC;B2600026100000;03928
AMAZÔNIA PLANETA VERDE;B1402080700000;0211017500
AMAZÔNIA POSTAL;B1700066800000;00459
AMAZÔNIA, A NOVA MINAMATA?;B2400267700000;03069
AMBIENTE FAMILIAR;B1900347600000;1072
AMERYKA;B2300365100000;01052
AMIGAS DE SORTE;B1900594800000;01544
AMIGO DE ALUGUEL - 1ª TEMPORADA;B1800380000000;00138
AMIGO DE ALUGUEL - 2ª TEMPORADA;B1900048900000;00138
AMIZADE;B2500065300000;04536
AMOR DE 4;B1600428200000;00336
AMOR DE 4 + 1;B2000439400000;02546
AMOR DOS OUTROS;B2100515000000;02632
AMOR EM SAMPA;B1600032100000;00117
AMOR LIVRE AMOR;B2500376100000;03215
AMOR LIVRE AMOR;B2500376100000;03218
AMOR LIVRE AMOR;B2500376100000;03220
AMOR LIVRE AMOR;B2500376100000;03317
AMOR LIVRE AMOR;B2500376100000;04920
AMOR RADICAL;B2400387800000;05214
AMOR REBELDE;B2300240900000;03792
AMOR SEM MEDIDA;B2100401000000;03271
AMOR SEM MEDIDA;B2100401000000;03279
AMOR SERTANEJO;B1900613600000;02058
AMOR À QUEIMA ROUPA;B2100479300000;02241
AMOR, PLÁSTICO E BARULHO;B1402446800000;00034
AMORES CUBANOS;B2000207600000;1735
AMORES DE CHUMBO;B1800089800000;00209
AMORES DE CHUMBO;B1800089800000;00894
AMÉLIO, O HOMEM DE VERDADE;B2000264800000;02232
ANA. SEM TITULO;B2000319700000;02310
ANA. SEM TITULO;B2000319700000;02311
ANCESTRALIDADE, PRESENTE;B2600008500000;05093
ANDANTE - 3ª TEMPORADA;B2300097400000;03960
ANDANÇA - OS ENCONTROS E AS MEMÓRIAS DE BETH CARVALHO;B2300008100000;04088
ANGEL VIANNA VOANDO COM OS PÉS NO CHÃO;B1900309300000;01795
ANGELA;B2300345600000;03959
ANGELA;B2300345600000;2523
ANGELI THE KILLER;B1600690700000;00161
ANGELI THE KILLER - 2º TEMPORADA;B2100323100000;01953
