TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
ORIENTAÇÕES PARA OS PACIENTES SUBMETIDOS À CIRURGIA METABÓLICA PARA DIABETES TIPO 2 NO HRAN;B2300198200000;22/05/2023;DEFERIDO;VARIEDADES;Vídeoaula;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;11,6;;2023;;VIDEO DOMÉSTICO;NÃO;DIANA ARISTOTELIS ROCHA DE SA;PESSOA FÍSICA;DF;BRASILIA
"""AGENDA - CONDOR"" - AUDIO VISUAL - PRETTOS NO PAGODE";B2300453700000;16/10/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,3;;2023;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;MAGNO DE OLIVEIRA SOUZA;PESSOA FÍSICA;SP;SAO PAULO
"""REGISTRO.DOC | INDEPENDÊNCIAS""";B2300492000000;03/11/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;70;;2023;;SALAS DE EXIBIÇÃO;NÃO;TW COMUNICACAO LTDA;32.166.740/0001-99;MG;BELO HORIZONTE
"""TRATA-ME AMOR""";B2300552300000;08/12/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;1138;;2023;;SALAS DE EXIBIÇÃO;NÃO;TW COMUNICACAO LTDA;32.166.740/0001-99;MG;BELO HORIZONTE
#DEIXAELA;B2300211800000;05/06/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;137,9;5;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FLUXA FILMES LTDA;34.878.582/0001-25;SP;SAO PAULO
#PAZNASESCOLAS;B2300320000000;03/08/2023;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;30;30;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
(OVO);B2300343900000;16/08/2023;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,9;;2023;;NENHUMA DAS OPÇÕES;NÃO;MÔNICA TOTINI LEME DE MOURA;PESSOA FÍSICA;SP;SAO PAULO
(SUB)URBANA;B2300260700000;28/06/2023;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,5;;2023;;SALAS DE EXIBIÇÃO;NÃO;22.313.096 VINI POFFO;22.313.096/0001-80;SC;JOINVILLE
085;B2300141500000;11/04/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,7;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JOSÉ ROGÉRIO SILVA FILHO;PESSOA FÍSICA;CE;SOBRAL
10 ANOS DE CAJU, VOL. 1;B2300378600000;05/09/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;45,6;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ADPAR PRODUCOES ARTISTICAS LTDA;33.362.430/0001-02;RJ;DUQUE DE CAXIAS
10 ANOS DE CAJU, VOL. 2;B2300387600000;12/09/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;36,3;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ADPAR PRODUCOES ARTISTICAS LTDA;33.362.430/0001-02;RJ;DUQUE DE CAXIAS
10 ANOS DE MÚSICA ELETRÔNICA NO BRASIL;B2300271500000;05/07/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;64,7;;2023;;NENHUMA DAS OPÇÕES;NÃO;RUTH SLINGER IMAGENS - ME;02.727.396/0001-07;SP;SAO PAULO
