PAIS_ORIGEM;TITULO_ORIGINAL;CPB
ALEMANHA;1968 - O DESPERTAR;B1900050000000
ALEMANHA;5 CASAS;B2000263300000
ALEMANHA;A FEBRE;B1900486200000
ALEMANHA;A VIDA INVISÍVEL;B1900366600000
ALEMANHA;ALGUMA COISA ASSIM;B1700548300000
ALEMANHA;AMIGO SECRETO;B2200201200000
ALEMANHA;AS HERDEIRAS;B1800293900000
ALEMANHA;CÉU DE SUELY, O;B0600587200000
ALEMANHA;DORMIR DE OLHOS ABERTOS;B2400318700000
ALEMANHA;ENTRE VALES;B1301935400000
ALEMANHA;EXODUS - DE ONDE VIM NÃO EXISTE MAIS;B1700123200000
ALEMANHA;FAMILIA ANIMAL;B2300214800000
ALEMANHA;FIA FABULA;B2500182700000
ALEMANHA;FILHOS DE BACH;B1700052000000
ALEMANHA;GIRIMUNHO;B1201558400000
ALEMANHA;LENITA;B2300513000000
ALEMANHA;LO QUE QUEDA EN EL CAMINO;B2200307000000
ALEMANHA;MARACANÃ - TEMPLO DAS EMOÇÕES;B1402208400000
ALEMANHA;MARACANÃ - TEMPLO DAS EMOÇÕES;B1500289000000
ALEMANHA;MORRO GRANDE;B2500487700000
ALEMANHA;MOTEL DESTINO;B2400293500000
ALEMANHA;NOITE DE FOGO;B2100427500000
ALEMANHA;NOVA ZELÂNDIA SELVAGEM;B1800267800000
ALEMANHA;NOVAS ESPÉCIES - A EXPEDIÇÃO DO SÉCULO;B1900245100000
ALEMANHA;O AGENTE SECRETO;B2500325300000
ALEMANHA;O ANIVERSÁRIO DO SEU LAIR;B2200391300000
ALEMANHA;O PROCESSO;B1800130600000
ALEMANHA;O SUSSURRO DO JAGUAR;B1900400700000
ALEMANHA;O TRAIDOR;B2200089800000
ALEMANHA;POR UM PUNHADO DE DÓLARES - OS NOVOS EMIGRADOS;B1402301300000
ALEMANHA;PRAIA DO FUTURO;B1402146300000
ALEMANHA;QUERÊNCIA;B1900507200000
ALEMANHA;TABU;B1201639800000
ALEMANHA;THE CLEANERS;B1800536000000
ALEMANHA;TRASH;B1402294200000
ALEMANHA;UNIVERSO CIRCULAR - JOCY DE OLIVEIRA;B2600014900000
ALEMANHA;VIRAR MAR;B2200073700000
ALEMANHA;WHEN IN VENICE;B2100486100000
ALEMANHA;ZAATARI, O FILME;B1800606700000
ANGOLA;O ÚLTIMO PAÍS;B1800228100000
ARGENTINA;A BARQUEIRA;B2000556700000
ARGENTINA;A CASA VERDE;B0901007400000
ARGENTINA;A FAMÍLIA SUBMERSA;B1800358900000
ARGENTINA;A FESTA DA MENINA MORTA;B0800866000000
ARGENTINA;A MULHER DO MEU MARIDO;B1800089700000
ARGENTINA;A OESTE DO FIM DO MUNDO;B1301910400000
ARGENTINA;A OUTRA PELE;B2000043400000
ARGENTINA;A SORTE EM SUAS MÃOS;B1301971700000
ARGENTINA;A TERRA VERMELHA;B1600439400000
ARGENTINA;A VOZ DO SILÊNCIO;B1800262800000
ARGENTINA;ANA. SEM TITULO;B2000319700000
ARGENTINA;B SIDE OF THE ROAD;B2200291200000
ARGENTINA;BEM-VINDA VIOLETA;B2300147900000
ARGENTINA;BONI BONITA;B1900302000000
ARGENTINA;BREVE HISTÓRIA DO PLANETA VERDE;B1900541900000
ARGENTINA;BREVE MIRAGEM DE SOL;B1900263400000
ARGENTINA;CAFÉ DOS MAESTROS;B0800935300000
ARGENTINA;CAIAM AS ROSAS BRANCAS!;B2500112300000
ARGENTINA;CARVÃO;B2200312700000
ARGENTINA;CHE  MEMÓRIAS DE UM ANO SECRETO;B2000129400000
ARGENTINA;CHICO VENTANA TAMBÉM QUERIA TER UM SUBMARINO;B2000433100000
ARGENTINA;CONTINENTE;B2400330900000
ARGENTINA;CORAÇÃO DE LEÃO;B1302055400000
ARGENTINA;DALIA E O LIVRO VERMELHO;B2400354600000
ARGENTINA;DESTERRO;B1900545200000
ARGENTINA;DIVÃ A 2;B1500335800000
ARGENTINA;DIÁRIO DE UM NOVO MUNDO;B0500294600000
ARGENTINA;DOIDAS E SANTAS;B1500812200000
ARGENTINA;DOLORES - UMA MULHER, DOIS AMORES;B1700045100000
ARGENTINA;DORMIR DE OLHOS ABERTOS;B2400318700000
ARGENTINA;EL (IM)POSIBLE OLVIDO;B1700146800000
ARGENTINA;EL ARDOR;B1402130700000
ARGENTINA;EL AUGE DEL HUMANO 3;B2400244500000
ARGENTINA;EL EMPLEADO Y EL PATRÓN;B2100271900000
ARGENTINA;ELE NÃO SABIA HISTÓRIAS;B2300316900000
