PAIS_ORIGEM;TITULO_ORIGINAL;ROE
AFEGANISTÃO;HAVA, MARYAM, AYESHA;E2100234300000
AFEGANISTÃO;KABOUL KITCHEN S1;E1300000100000
AFEGANISTÃO;OSAMA;E1300000100000
AFEGANISTÃO;PARWARESHGHAH;E2100526200000
AFEGANISTÃO;QURUT;E2100234400000
AFEGANISTÃO;SYNGUÉ SABOUR, PIERRE DE PATIENCE;E1500635500000
AFEGANISTÃO;WHITE SILK ROAD;E1300000100000
ALBÂNIA;AMNISTIA;E1500613900000
ALEMANHA;13 AKA BOTCHED;E1300000100000
ALEMANHA;13 HOURS;E1300000100000
ALEMANHA;150 YEARS: VIENNA STATE OPERA;E2000535100000
ALEMANHA;16 BLOCKS;E1300000100000
ALEMANHA;2 DAYS IN NEW YORK;E1600171600000
ALEMANHA;2 FAST 2 FURIOUS;E1300000100000
ALEMANHA;20 SECONDS OF JOY;E1300000100000
ALEMANHA;20 SECONDS OF JOY;E1600490500000
ALEMANHA;30 MINUTES OR LESS;E1600460900000
ALEMANHA;3096 (AKA 3096 DAYS);E1300000100000
ALEMANHA;4 KÖNIGE;E1700125600000
ALEMANHA;50. JAZZWOCHE BURGHAUSEN 2019: AL DI MEOLA;E2300034000000
ALEMANHA;7TH DWARF;E1500344700000
ALEMANHA;8 MILE;E1300000100000
ALEMANHA;8 MILE;E1500895900000
ALEMANHA;80 MINUTES;E1300000100000
ALEMANHA;A BRUXINHA E O DRAGÃO;E1300000100000
ALEMANHA;A CIAMBRA;E1700467600000
ALEMANHA;A CURE FOR WELLNESS;E1600766700000
ALEMANHA;A DANGEROUS METHOD;E1500424600000
ALEMANHA;A DIFFERENT WAY - TANGO WITH RODOLFO MEDEROS;E1500787000000
ALEMANHA;A FISTFUL OF DOLLARS;E1700189100000
ALEMANHA;A HEAVENLY GAMBLE;E1300000100000
ALEMANHA;A HIDDEN LIFE;E1900586200000
ALEMANHA;A HOLOGRAM FOR THE KING;E1600311200000
ALEMANHA;A JOB TO KILL FOR;E1300000100000
ALEMANHA;A MOST WANTED MAN;E1500009100000
ALEMANHA;A SONG FOR TOMORROW – CLIMBING IN QINGFENG VALLEY;E1700475900000
ALEMANHA;A TRICK OF THE LIGHT;E1300000100000
ALEMANHA;A USEFUL GHOST;E2500482100000
ALEMANHA;A2 RACER;E1300000100000
ALEMANHA;A2 RACERS;E1300000100000
ALEMANHA;ABBADO - MAHLER SYMPHONY NO. 9;E1300000100000
ALEMANHA;ABOUT A BOY;E1900261500000
ALEMANHA;ABOUT A GIRL;E1600398600000
ALEMANHA;ABRAHAM (EPS. 01 A 04);E1300000100000
ALEMANHA;ACCENT ON THE OFFBEAT;E1500674400000
ALEMANHA;ADIDAS SICKLINE EXTREME KAYAK WORLD CHAMPIONSHIP 2016;E1700476000000
ALEMANHA;ADRIFT;E1300000100000
ALEMANHA;ADRIFT (AKA OPEN WATER 2);E1300000100000
ALEMANHA;ADVENTURES OF A MATHEMATICIAN;E2100317000000
ALEMANHA;AEON FLUX;E1900382600000
ALEMANHA;AFFEKSJONSVERDI;E2500442100000
ALEMANHA;AFRICAN RACE - DIE VERRÜCKTE JAGD NACH DEM MARAKUNDA;E1300000100000
ALEMANHA;AFTERMATH, THE;E1900320600000
ALEMANHA;AFTERWARDS;E1300000100000
ALEMANHA;AGE OF HUMANS;E2100341200000
ALEMANHA;AGUIRRE, DER ZORN GOTTES;E1300000100000
ALEMANHA;AIMÉE & JAGUAR;E1402493600000
ALEMANHA;AIR FORCE ONE;E1500467600000
ALEMANHA;AKHER AYAM EL MADINA;E1800270600000
ALEMANHA;AKRAM KHAN‘S GISELLE;E1900348100000
ALEMANHA;AL DI MEOLA PLAYS AVO SESSION;E1500675700000
ALEMANHA;ALARM FÜR COBRA 11 - DIE AUTOBAHNPOLIZEI;E1900344500000
ALEMANHA;ALBERT COLLINS & THE ICEBREAKERS - IN CONCERT;E1300000100000
ALEMANHA;ALEXANDER;E1300000100000
ALEMANHA;ALIBIS FOR SALE;E1300000100000
ALEMANHA;ALIBIS FOR SALE;E1600008300000
