RAZAO_SOCIAL;REGISTRO_ANCINE;CNPJ;MUNICIPIO;UF;CLASSIFICACAO_NIVEL_PRODUTORA
+2 PRODUÇÕES CULTURAIS - ME;32426;10.539.519/0001-04;RIO DE JANEIRO;RJ;1
.976 LTDA;52179;46.521.620/0001-77;BLUMENAU;SC;1
051 CINE & VIDEO LTDA;23809;17.659.837/0001-40;SÃO PAULO;SP;1
061 FILMS LTDA;24897;17.380.926/0001-52;BRASÍLIA;DF;2
1 + 2 ESTUDIO DE ILUSTRACAO E DESIGN LTDA;62068;12.407.828/0001-48;SÃO PAULO;SP;1
1 FRAME FILMES, PUBLICIDADE, VFX E CONSULTORIA LTDA;63746;61.777.501/0001-73;SÃO PAULO;SP;1
1001 FILMES LTDA;349;35.892.546/0001-89;RIO DE JANEIRO;RJ;4
102 FILMES E VIDEOS LTDA;59135;55.779.681/0001-20;SÃO PAULO;SP;1
1111 FILMES E CONTEUDO LTDA;34063;22.744.857/0001-59;EUSÉBIO;CE;1
113 FILMES LTDA;60514;57.616.940/0001-27;RIO DE JANEIRO;RJ;1
12 ENTRETENIMENTO LTDA;52800;46.496.281/0001-16;SÃO PAULO;SP;2
12 FILMES STUDIO DE ANIMACAO E PRODUCAO AUDIO VISUAL LTDA;44753;31.260.750/0001-26;SÃO PAULO;SP;1
12 POLEGADAS SOLUÇÕES CULTURAIS LTDA;54970;45.286.147/0001-28;RECIFE;PE;1
125/5.6 PRODUÇÕES FOTOGRÁFICAS SOCIEDADE SIMPLES LTDA;60750;96.293.733/0001-30;SÃO PAULO;SP;1
135 MM FILMES LTDA;63791;55.970.518/0001-40;BRASÍLIA;DF;1
137 PRODUÇÕES ARTISTICAS LTDA;63483;53.837.605/0001-06;SÃO PAULO;SP;1
13TH PRODUCTIONS PRODUCOES ARTISTICAS LTDA;6384;04.352.999/0001-99;RIO DE JANEIRO;RJ;1
14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA;51279;20.489.684/0001-44;RIO DE JANEIRO;RJ;1
14BIS FILMES LTDA;51744;47.132.442/0001-55;SÃO PAULO;SP;1
16:11 FILMES E PRODUÇÕES LTDA;62247;60.712.768/0001-10;OSASCO;SP;1
16MM FILMES LTDA;62652;54.991.222/0001-42;BRASÍLIA;DF;1
16X9 LAB LTDA;32791;12.591.570/0001-82;SÃO PAULO;SP;1
17 FILMES E PRODUÇÕES LTDA.;48482;36.204.331/0001-90;RIO DE JANEIRO;RJ;1
1720 FILMES LTDA;62003;59.556.785/0001-26;BELO HORIZONTE;MG;1
182 DIGITAL LTDA;58556;34.643.962/0001-80;BRASÍLIA;DF;1
1985 CONTEUDO E PRODUCOES LTDA;64479;43.104.176/0001-04;SÃO JOSÉ DO RIO PRETO;SP;1
1988 RECORDS LTDA;64194;61.203.384/0001-34;RIO DE JANEIRO;RJ;1
1A CASA PRODUCOES AUDIOVISUAIS E MULTICULTURAIS LTDA;24613;14.958.749/0001-50;CANELA;RS;1
2 GRADOS AGENCIA CRIATIVA LTDA;63245;21.713.849/0001-82;RIO DE JANEIRO;RJ;1
2 LEVELS PRODUÇÕES E SERVIÇOS EXPOSIÇÃO DE ARTES LTDA.;57095;24.659.231/0001-70;BRASÍLIA;DF;1
2 OLHARES PRODUÇÕES AUDIOVISUAIS EIRELI;15985;11.085.133/0001-24;RIO DE JANEIRO;RJ;1
2 OLHOS NEGROS FILMES LTDA;54406;30.603.741/0001-28;RIO DE JANEIRO;RJ;1
2 PASSOS PRODUCOES CULTURAIS E PROJETOS LTDA;62593;18.592.206/0001-13;SÃO PAULO;SP;1
2 RIOS PROPAGANDA E PROJETOS LTDA;42620;29.534.490/0001-98;TERESINA;PI;1
2.8 1/2 PRODUÇÕES CINEMATOGRÁFICAS S/S LTDA - ME;5222;02.019.144/0001-15;SÃO PAULO;SP;1
200 MM FILMES LTDA;64703;64.146.692/0001-63;BRASÍLIA;DF;1
202B SERVICOS DE ESTÚDIOS CINEMATOGRÁFICOS LTDA;38296;23.582.184/0001-40;FORTALEZA;CE;1
220 FURTS PRODUCOES CINEMATOGRAFICAS LTDA;58871;39.930.058/0001-70;RIO DE JANEIRO;RJ;1
23.261.140 LTDA;61388;23.261.140/0001-19;GARANHUNS;PE;1
23.334.985 PRISCILA CONSTANTINO SALES;59974;23.334.985/0001-97;ASSIS;SP;1
23.848.056 DELOER AMERICO JUNIOR;63672;23.848.056/0001-04;ARACAJU;SE;1
23SUL MEDIA PRODUÇÕES AUDIOVISUAIS LTDA.;57454;34.867.344/0001-14;NITERÓI;RJ;1
24 QUADROS PRODUÇÕES ARTÍSTICAS LTDA;60615;07.091.213/0001-15;SÃO PAULO;SP;1
24 VPS - FILMES LTDA;157;02.919.018/0001-17;SÃO PAULO;SP;3
24MM FILMES LTDA;64769;57.397.068/0001-73;BRASÍLIA;DF;1
24QUADROS PRODUCOES AUDIOVISUAIS LTDA;57379;35.752.232/0001-80;RIO DE JANEIRO;RJ;1
29.880.225 JOSE FRANCISCO TRASSI TEIXEIRA;56484;29.880.225/0001-61;SÃO PAULO;SP;1
292 PRODUCOES CINEMATOGRAFICAS E PROJETOS CULTURAIS LTDA - EPP;31673;08.293.822/0001-10;RIO DE JANEIRO;RJ;1
2AMADOS SERVIÇOS DE FOTOGRAFIA LTDA;33404;07.944.799/0001-13;RIO DE JANEIRO;RJ;1
2BB2 PRODUÇÕES ARTÍSTICAS LTDA. - ME;32246;07.171.073/0001-95;RIO DE JANEIRO;RJ;3
2C PRODUTORA E DISTRIBUIDORA AUDIOVISUAL EIRELI;48763;33.915.131/0001-58;SÃO PAULO;SP;1
2D PRODUCOES E COMUNICACAO LTDA - ME;36054;22.104.355/0001-63;RIO DE JANEIRO;RJ;1
2DIRECTORS DIREÇÃO DE CENA LTDA;62887;11.686.012/0001-38;BELO HORIZONTE;MG;1
2FLY COMUNICAÇÃO LTDA;29694;10.401.948/0001-02;GOIÂNIA;GO;1
2IN1 PRODUÇÕES E DESIGN DIGITAL LTDA;46589;36.265.066/0001-50;BRASÍLIA;DF;1
2M PRODUCOES ARTISTICAS LTDA;60562;38.358.466/0001-36;SÃO PAULO;SP;1
2M PRODUÇÕES CINEMATOGRÁFICAS LTDA.;41401;27.932.716/0001-83;RIO DE JANEIRO;RJ;1
2MINDS AUDIOVISUAL LTDA;45050;17.255.356/0001-79;NITERÓI;RJ;1
2N AUDIOVISUAL LTDA - ME;30006;20.258.160/0001-42;SALVADOR;BA;1
3 APITOS MARKETING CULTURAL E ESPORTIVO LTDA;32635;14.293.235/0001-23;SÃO PAULO;SP;1
3 BRASIS AUDIOVISUAL MULTIPLATAFORMA & ECONOMIA CRIATIVA LTDA - ME;37286;28.229.662/0001-57;RECIFE;PE;1
3 DE TEATRO LTDA ME;48367;10.363.565/0001-97;SÃO PAULO;SP;1
3 MOINHOS PRODUCOES ARTISTICAS LTDA;15267;10.615.584/0001-63;RIO DE JANEIRO;RJ;1
3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;13520;09.107.296/0001-19;RIO DE JANEIRO;RJ;4
3 TIMES 1 PRODUCOES LTDA;18735;11.654.455/0001-47;SÃO PAULO;SP;1
3/8 FILMES E ANIMAÇÕES LTDA;41365;30.205.638/0001-20;JOINVILLE;SC;1
30 PÉS FILMES LTDA.;4465;07.447.850/0001-81;SÃO PAULO;SP;1
30ZERO4 AGENCIA E PRODUTORA LTDA;63290;07.508.069/0001-70;PONTA GROSSA;PR;1
31.940.933 LOURENCO RODRIGUES PEREIRA VELOSO;57428;31.940.933/0001-92;BELO HORIZONTE;MG;1
34 FILMES LTDA;1610;04.852.671/0001-31;BRASÍLIA;DF;3
35 MM FILMES LTDA;62696;55.952.894/0001-01;BRASÍLIA;DF;1
360 ENTRETENIMENTO E DISTRIBUIÇÃO DE FILMES LTDA;31182;22.208.152/0001-17;RIO DE JANEIRO;RJ;1
380 VOLTS COMUNICACAO E PUBLICIDADE LTDA;44348;26.728.657/0001-63;SÃO PAULO;SP;1
3C FILMES LTDA;26898;19.133.239/0001-68;SÃO PAULO;SP;1
3C PRODUÇÕES ARTÍSTICAS LTDA ME;54650;37.257.042/0001-12;RIO DE JANEIRO;RJ;1
3D ESTUDIOS LTDA;2159;83.647.040/0001-57;BELÉM;PA;1
3D3 COMUNICACAO E CULTURA LTDA;53060;00.539.373/0001-35;SÃO PAULO;SP;1
3EM3 PRODUCOES AUDIOVISUAIS LTDA;41441;31.362.816/0001-99;SÃO PAULO;SP;1
3FG.TV PRODUÇÕES LTDA - ME;21323;15.031.868/0001-26;SÃO PAULO;SP;2
3FRONT COMUNICAÇÃO LTDA.;56349;18.441.068/0001-71;FOZ DO IGUAÇU;PR;1
3LENS PRODUTORA AUDIOVISUAL LTDA;59197;44.703.564/0001-66;BARUERI;SP;1
3LUZES PRODUCOES ARTISTICAS LTDA;62647;58.339.415/0001-74;SÃO PAULO;SP;1
3M EDITORA, ARTES GRAFICAS E PRODUTORA LTDA;37676;24.929.247/0001-55;RECIFE;PE;1
3MARIAS PRODUTORA LTDA.;2601;05.564.552/0001-46;AMERICANA;SP;1
3PLAY FILMS PRODUÇÕES LTDA.;50883;41.848.152/0001-26;CURITIBA;PR;1
3RP - PRODUCAO FOTOGRAFICA LTDA;59823;23.064.639/0001-36;SÃO PAULO;SP;1
4 AMIGOS PRODUCOES ARTISTICAS LTDA;53799;31.679.238/0001-19;GUARUJÁ;SP;1
4 BOCAS - FILMES E SERVIÇOS AUDIOVISUAIS LTDA;35292;24.221.859/0001-99;BRASÍLIA;DF;1
4 F PRODUTOS GRÁFICOS LTDA EPP;48345;17.624.692/0001-41;GUARATINGUETÁ;SP;1
4 PONTAS PRODUÇÕES ARTÍSTICAS LTDA;31482;12.427.430/0001-73;RIO DE JANEIRO;RJ;2
