NUMERO_SALIC;TITULO_PROJETO;DATA_PUB_APROVACAO_PROJETO;DATA_PRIMEIRA_LIBERACAO;SITUACAO_ATUAL;MECANISMO;CAPTADO_ART1;CAPTADO_ART1A;CAPTADO_ART3;CAPTADO_ART3A;CAPTADO_ART18;CAPTADO_ART25;CAPTADO_ART39;CAPTADO_FUNCINES;CAPTADO_EDITAL_ANCINE;CAPTADO_PAR;CAPTADO_PAQ;CAPTADO_OUTROS_EDITAIS;CAPTADO_LEI_ESTADUAL;CAPTADO_LEI_MUNICIPAL;CAPTADO_OUTRAS_FONTES;CAPTADO_CONTRAPARTIDA;CAPTADO_CONVERSAO;TOTAL_CAPTADO;PROPONENTE;CNPJ_PROPONENTE;MUNICIPIO_PROPONENTE;UF_PROPONENTE
00-0040;Somos Amigos (Ex- Eliana em Somos Amigos);15/03/2000;;105    - CEA Projeto cancelado;Fomento Indireto;R$ 44.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 44.000,00;CPC CENTRO DE PRODUÇÀO E COMUNICAÇÃO LTDA.;42.592.741/0001-59;RIO DE JANEIRO;RJ
00-0061;Banda de Ipanema - Folia de Albino;07/06/2000;;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 221.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 221.000,00;SHATER PRODUÇÕES ARTÍSTICAS LTDA;32.096.794/0001-25;RIO DE JANEIRO;RJ
00-0075;O Cupido Trapalhão;21/08/2000;10/06/2003;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.475.535,00;R$ 0,00;R$ 1.800.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.275.535,00;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;RIO DE JANEIRO;RJ
00-0077;TVE/BRASIL - Uma Rede de Difusão Cultural;10/04/2000;10/11/2000;P60    - PC FINAL - Análise Diretoria Colegiada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.000.000,00;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;RIO DE JANEIRO;RJ
00-0115;Programa Alternativo;04/09/2000;31/07/2002;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 656.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 656.000,00;TV ALTERNATIVA CINEMA E VIDEO PRODUCAO EIRELI;03.419.940/0001-08;BRASILIA;DF
00-0117;Gente de Cavalo;07/07/2000;18/12/2001;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 336.255,74;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 336.255,74;A NOVA CDI - CASA DOS INDEPENDENTES LTDA;02.913.172/0001-81;SAO PAULO;SP
00-0131;Sorria Jesus te Ama;15/06/2000;;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.000,00;REFLEXO CINEMA E TV - PRODUTORA E DISTRIBUIDORA LTDA;03.909.063/0001-53;BRASILIA;DF
00-0148;Naufrágio - Mistério e Morte na Catástrofe do Príncipe das Astúrias (Ex: Naufrágio do...);18/09/2000;13/05/2004;U24    - RPC - PC FINAL - Aprovada;Fomento Indireto;R$ 374.990,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 142.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 516.990,00;MASTER SHOT PRODUCOES EIRELI - ME.;02.625.405/0001-40;SAO PAULO;SP
00-0177;Documentário Doutores da Alegria.;01/11/2000;28/02/2002;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 500.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 890.520,15;R$ 222.723,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.613.243,15;MAMO FILMES LTDA;57.643.793/0001-84;SAO PAULO;SP
00-0193;Xuxa Pop Star (Ex Xuxa Kid);22/09/2000;04/10/2000;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 212.354,00;R$ 0,00;R$ 1.600.000,00;R$ 0,00;R$ 0,00;R$ 90.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.902.354,00;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;RIO DE JANEIRO;RJ
