ano,territorio_tipo,territorio_nome,uf,regiao,origem_filme,publico,renda_brl_nominal,lugares_oferecidos,fonte_documento,confiabilidade,indicador,valor,unidade_original,mes,mes_nome
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,3777132.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3777132.0,CRUZADO,1.0,JANEIRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,5439515.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,5439515.0,CRUZADO,1.0,JANEIRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,14996996.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,14996996.0,CRUZADO,1.0,JANEIRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,68455233.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,68455233.0,CRUZADO,1.0,JANEIRO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,167616837.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,167616837.0,CRUZADO,1.0,JANEIRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2100493.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2100493.0,CRUZADO,2.0,FEVEREIRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,3972675.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3972675.0,CRUZADO,2.0,FEVEREIRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,10602423.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,10602423.0,CRUZADO,2.0,FEVEREIRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,64725801.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,64725801.0,CRUZADO,2.0,FEVEREIRO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,121049872.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,121049872.0,CRUZADO,2.0,FEVEREIRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2184200.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2184200.0,CRUZADO,3.0,MARÇO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,3831951.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3831951.0,CRUZADO,3.0,MARÇO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,14961486.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,14961486.0,CRUZADO,3.0,MARÇO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,88582878.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,88582878.0,CRUZADO,3.0,MARÇO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,175082903.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,175082903.0,CRUZADO,3.0,MARÇO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,3202656.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3202656.0,CRUZADO,4.0,ABRIL
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,6231963.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,6231963.0,CRUZADO,4.0,ABRIL
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,17262884.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,17262884.0,CRUZADO,4.0,ABRIL
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,81125137.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,81125137.0,CRUZADO,4.0,ABRIL
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,228140648.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,228140648.0,CRUZADO,4.0,ABRIL
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2584619.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2584619.0,CRUZADO,5.0,MAIO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,5346780.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,5346780.0,CRUZADO,5.0,MAIO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,19539602.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,19539602.0,CRUZADO,5.0,MAIO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,92435567.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,92435567.0,CRUZADO,5.0,MAIO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2535003.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2535003.0,CRUZADO,6.0,JUNHO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,5833602.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,5833602.0,CRUZADO,6.0,JUNHO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,22801529.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,22801529.0,CRUZADO,6.0,JUNHO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,69346906.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,69346906.0,CRUZADO,6.0,JUNHO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,3688150.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3688150.0,CRUZADO,7.0,JULHO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,10296041.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,10296041.0,CRUZADO,7.0,JULHO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,35092561.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,35092561.0,CRUZADO,7.0,JULHO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,123552608.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,123552608.0,CRUZADO,7.0,JULHO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2694092.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2694092.0,CRUZADO,8.0,AGOSTO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,7658303.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,7658303.0,CRUZADO,8.0,AGOSTO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,35239632.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,35239632.0,CRUZADO,8.0,AGOSTO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,113121896.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,113121896.0,CRUZADO,8.0,AGOSTO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2954152.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2954152.0,CRUZADO,9.0,SETEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,8598251.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,8598251.0,CRUZADO,9.0,SETEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,34308310.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,34308310.0,CRUZADO,9.0,SETEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,100336790.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,100336790.0,CRUZADO,9.0,SETEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,2995564.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2995564.0,CRUZADO,10.0,OUTUBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,8116445.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,8116445.0,CRUZADO,10.0,OUTUBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,34371150.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,34371150.0,CRUZADO,10.0,OUTUBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,98682422.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,98682422.0,CRUZADO,10.0,OUTUBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,3236430.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3236430.0,CRUZADO,11.0,NOVEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,9387275.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,9387275.0,CRUZADO,11.0,NOVEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,39394323.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,39394323.0,CRUZADO,11.0,NOVEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,101466419.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,101466419.0,CRUZADO,11.0,NOVEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,3753939.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,3753939.0,CRUZADO,12.0,DEZEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,13152700.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,13152700.0,CRUZADO,12.0,DEZEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,51775456.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,51775456.0,CRUZADO,12.0,DEZEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,123751804.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,123751804.0,CRUZADO,12.0,DEZEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,35706430.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,35706430.0,CRUZADO,,
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,87865501.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,87865501.0,CRUZADO,,
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,330346352.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,330346352.0,CRUZADO,,
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,1125583461.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1125583461.0,CRUZADO,,
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,691890260.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,691890260.0,CRUZADO,,
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,1297568.82,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1297568.82,CRUZADO,1.0,JANEIRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,720849.38,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,720849.38,CRUZADO,1.0,JANEIRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,613824.46,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,613824.46,CRUZADO,1.0,JANEIRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,855180.94,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,855180.94,CRUZADO,1.0,JANEIRO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,1575346.21,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1575346.21,CRUZADO,1.0,JANEIRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,680742.74,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,680742.74,CRUZADO,2.0,FEVEREIRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,479473.75,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,479473.75,CRUZADO,2.0,FEVEREIRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,385395.5,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,385395.5,CRUZADO,2.0,FEVEREIRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,695681.63,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,695681.63,CRUZADO,2.0,FEVEREIRO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,1137686.77,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1137686.77,CRUZADO,2.0,FEVEREIRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,663422.76,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,663422.76,CRUZADO,3.0,MARÇO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,411833.6,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,411833.6,CRUZADO,3.0,MARÇO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,484602.51,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,484602.51,CRUZADO,3.0,MARÇO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,832545.85,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,832545.85,CRUZADO,3.0,MARÇO
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,964112.9,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,964112.9,CRUZADO,3.0,MARÇO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,892445.31,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,892445.31,CRUZADO,4.0,ABRIL
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,608883.28,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,608883.28,CRUZADO,4.0,ABRIL
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,505253.61,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,505253.61,CRUZADO,4.0,ABRIL
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,762454.3,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,762454.3,CRUZADO,4.0,ABRIL
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,1096988.26,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1096988.26,CRUZADO,4.0,ABRIL
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,660755.81,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,660755.81,CRUZADO,5.0,MAIO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,479704.36,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,479704.36,CRUZADO,5.0,MAIO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,511394.65,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,511394.65,CRUZADO,5.0,MAIO
