ano,cnae_classe,atividade,segmento_ancine,valor_adicionado_brl_milhoes_correntes,valor_adicionado_brl_correntes,unidade_original,incluido_no_total_publicado,metodo_valor,marcador_nota_ancine,nota_ancine,fonte_tabela,status_serie,nota_metodologica,fonte_arquivo,fonte_url,fonte_pagina,hash_fonte
2007,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",238.2,238200000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2008,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",256.2,256200000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2009,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",294.4,294400000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2010,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",387.3,387300000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2011,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",382.5,382500000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2012,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",529.7,529700000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2013,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",457.3,457300000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2014,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",634.9,634900000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2015,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",555.7,555700000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2016,59.11-1,"Atividades de producao cinematografica, de videos e de programas de televisao","Producao cinematografica, video e TV",530.4,530400000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
