ano,cnae_classe,cnae_subclasse,classe,subclasse,empregos_formais_ativos_31_12
2010,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1047
2011,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1148
2012,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,927
2013,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1072
2014,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1227
2015,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,1079
2016,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,835
2017,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,750
2018,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,764
2019,59.11-1,59.11-1/01,"Atividades de producao cinematografica, de videos e de programas de televisao",Estudios cinematograficos,706
2010,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,1648
2011,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2094
2012,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2338
2013,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2625
2014,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2581
2015,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2376
2016,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2355
2017,59.11-1,59.11-1/02,"Atividades de producao cinematografica, de videos e de programas de televisao",Producao de filmes para publicidade,2170
