ano,empregos_formais_ativos_31_12,fonte_tabela,status_serie,nota_metodologica,fonte_arquivo,fonte_url,fonte_pagina,hash_fonte
2010,106022,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2011,112291,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2012,112399,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2013,111061,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2014,98756,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2015,94972,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2016,91834,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2017,91132,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2018,84609,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
2019,88053,Apendice 2,oficial_ancine_reconstruida_pdf_2010_2019,"Total do setor audiovisual publicado pela ANCINE no Apendice 2 do estudo Emprego no Setor Audiovisual, ano-base 2019.",emprego-no-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/992a10f5cca0463eb9b61541e9ceaba5,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,96bd7afc796a6dee59e37d1ff169a18726cab74356046b0f04bf225d776f6cb9
