indice_tiempo,espectadores_films_nacionales,espactadores_films_extranjeros,festivales_ y_muestras
2001-01-01,3671358,24115492,292781
2002-01-01,3438304,27266609,358704
2003-01-01,3468896,30961636,475205
2004-01-01,6050531,37844965,564244
2005-01-01,4659075,32226137,541926
2006-01-01,4209348,30947097,654979
2007-01-01,3373003,30225727,723278
2008-01-01,4101127,29738157,815753
2009-01-01,5397934,27443982,786349
2010-01-01,3569693,34083135,995457
2011-01-01,3556544,38704602,864598
2012-01-01,4632190,41617303,1085169
2013-01-01,7488357,40141853,856570
2014-01-01,8176301,37043992,619313
2015-01-01,7577556,44083639,591194
2016-01-01,7348582,43073054,564185
2017-01-01,6518671,42509390,504955
2018-01-01,6838912,39111163,603219
2019-01-01,4099502,44194578,502883
2020-01-01,2184596,6748862,50872
2021-01-01,300793,13942076,84997
2022-01-01,2791230,31325469,391708
2023-01-01,3267857,40795877,384200
