indice_tiempo,recaudacion_films_nacionales,recaudacion_films_extranjeros,recaudacion_festivales_y_muestras
2001-01-01,17351255,116404614,913129
2002-01-01,15749247,132158867,1072388
2003-01-01,17122843,165322408,1555760
2004-01-01,34015793,228803347,1990601
2005-01-01,29099427,217267434,2061895
2006-01-01,30978187,248099929,3423072
2007-01-01,29823457,290852736,4368578
2008-01-01,46245318,343071416,6256335
2009-01-01,71937634,381901840,7726434
2010-01-01,56856909,600272549,13595570
2011-01-01,63380145,884546715,11799787
2012-01-01,113641248,1166108562,17620965
2013-01-01,243487285,1425445950,14440610
2014-01-01,335341863,1670180485,12101791
2015-01-01,413264790,2746002378,14777919
2016-01-01,506052840,3432426546,19649491
2017-01-01,565832027,4263753561,21808785
2018-01-01,716784733,4759561879,30558760
2019-01-01,610206639,7868746914,31071563
2020-01-01,452373365,1498352918,5199276
2021-01-01,82285165,5513167694,12210059
2022-01-01,1435767019,18523855472,177377519
2023-01-01,4827575370,48764801881,176932723
