indice_tiempo,espect_cine_2,espect_cine_6,espect_cine_10,espect_cine_14,espect_cine_18,espect_cine_22,espect_cine_26,espect_cine_30,espect_cine_34,espect_cine_38,espect_cine_42,espect_cine_46,espect_cine_50,espect_cine_54,espect_cine_58,espect_cine_62,espect_cine_66,espect_cine_70,espect_cine_74,espect_cine_78,espect_cine_82,espect_cine_86,espect_cine_90,espect_cine_94
2001-01-01,10112714,13350439,122034,2383046,76404,86330,156278,59620,7104,71556,51199,4285,1028506,43945,440961,80148,390481,46012,141560,22734,2124344,172845,95817,277908
2002-01-01,9981413,13502768,132101,2549535,91447,91242,199650,99859,11015,77597,75675,11008,1013758,41077,486488,116717,411350,40863,182022,22060,2157303,147052,117400,324367
2003-01-01,10505323,13458390,157489,2780394,173504,78022,162868,105781,14310,90511,34694,6276,1138870,43363,568546,148764,448015,34909,191854,2529,2644978,163733,118766,306892
2004-01-01,10958952,19637877,208139,3872820,291923,129989,415727,189450,5017,145689,203795,65485,1475133,71477,734308,325868,705836,551969,323793,80056,3218366,253283,165524,477221
2005-01-01,11592194,14332805,182697,3523958,232454,112196,331082,88756,6014,76105,165694,53453,1168219,27573,565533,242867,589341,347027,295491,78293,2882453,235778,119588,359124
2006-01-01,10823683,13727980,158192,3325049,225802,109867,342453,81342,4384,76148,172388,32120,1029602,17470,529989,237106,487852,311805,274085,89193,3014356,233710,146167,317076
2007-01-01,10176667,13270625,166646,3137684,256023,105056,314790,79837,8437,102325,151137,20589,1108450,140248,525181,183653,518159,262763,217746,37323,2821784,194418,159985,323390
2008-01-01,9922874,12919859,176575,3196671,377895,121389,268587,67170,511,81117,154420,9476,1029773,131861,501577,132215,512247,242116,252151,42390,2768802,193298,146512,455089
2009-01-01,9196314,12920146,134704,3048473,372776,184894,243848,33770,12791,66202,139968,0,1026466,116563,521095,136258,504678,179473,189263,45105,2801017,164386,121758,502557
2010-01-01,10556993,15062115,105011,3584703,427762,250845,304755,33994,54487,107919,56425,1330,1440885,185885,611157,98250,662694,130584,200822,68777,3215679,317237,93047,674419
2011-01-01,11140907,17084448,382300,3793280,495204,316338,445284,69577,30557,147343,184438,4845,1652102,167293,715321,47991,840156,205113,314282,94377,3386123,210205,240298,639963
2012-01-01,11664622,18994049,213862,4152413,512545,299410,418875,88069,101417,160252,212891,163366,1739538,228198,692442,183219,846432,366063,342879,79349,3842569,208808,217325,755617
2013-01-01,11210616,19516694,253441,4198853,552531,328170,399041,107269,57377,175892,249750,246099,2019640,257368,765255,197875,851330,502525,366681,112674,4010062,289287,267819,937485
2014-01-01,10866807,18345342,223662,3800712,502282,308031,375505,86906,5722,234269,213744,240870,1998685,217964,766091,154612,807654,478351,354144,92416,3704808,272755,250819,851509
2015-01-01,11677534,21219831,262887,4308154,621941,337603,473949,429007,75480,207501,274752,322203,2364451,268193,1022546,267424,960717,605538,437864,216247,4195045,337132,266569,1071745
2016-01-01,11367478,20512308,263339,4129849,601727,410956,430359,475230,76893,248077,284748,290643,2111220,245705,1051608,285910,1086722,560829,410313,258398,4118321,389736,278758,1007119
2017-01-01,10202902,20258124,302760,4089077,597672,469674,420895,400653,26167,227662,257450,300237,1878330,277367,1029861,365628,1176408,623007,411180,273547,3833831,394328,256525,1025150
2018-01-01,10054942,18742460,275398,3815893,534872,426201,370724,361463,117581,206641,228996,233637,1871854,249320,1099575,349110,1054900,567842,395360,245359,3457650,329842,227543,942474
2019-01-01,10268933,19621646,304535,4163563,504715,429811,454678,332783,122450,250178,225472,248700,2114164,262095,1326878,364257,1118399,597116,396659,277302,3474795,359915,242870,1029924
2020-01-01,1970755,3633553,50466,765242,92346,67690,85167,71251,15293,44726,44486,42067,385394,47135,232466,58535,224149,107368,66214,41912,645996,62857,41236,181835
2021-01-01,2594118,6105080,75691,1090311,169216,144871,182239,101440,0,111909,64614,88592,614683,95536,464715,106116,460524,214277,132267,42454,896279,118291,104018,281770
2022-01-01,6620370,14777431,217834,2771928,341571,297621,342765,274861,0,165063,144679,193463,1498830,230102,1010341,252700,906028,427532,313560,200321,2423668,204916,185012,607165
2023-01-01,8643027,18829335,284559,397639,381760,3646307,477026,354945,113149,223969,189118,240032,1862595,394745,1321405,277666,1212332,527245,384168,289366,2997015,299801,258257,777708
