indice_tiempo,recaud_cine_caba_02,recaud_cine_buenos_aires_06,recaud_cine_catamarca_10,recaud_cine_chaco_22,recaud_cine_chubut_26,recaud_cine_cordoba_14,recaud_cine_corrientes_18,recaud_cine_entre_rios_30,recaud_cine_formosa_34,recaud_cine_jujuy_38,recaud_cine_la_pampa_42,recaud_cine_la_rioja_46,recaud_cine_mendoza_50,recaud_cine_misiones_54,recaud_cine_neuquen_58,recaud_cine_rio_negro_62,recaud_cine_salta_66,recaud_cine_san_juan_70,recaud_cine_san_luis_74,recaud_cine_santa_cruz_78,recaud_cine_santa_fe_82,recaud_cine_sgo_del_estero_86,recaud_cine_tierra_del_fuego_90,recaud_cine_tucuman_94
2001-01-01,51137876,57722874,1370,300,929579,7302765,,50133,,18130,384710,,4527134,3733,1968915,321826,1363050,10240,2321,195653,7699325,976,500102,527986
2002-01-01,54879311,62795827,384181,228030,1007748,9260330,6444,100507,3677,203217,487128,,4628197,,2018393,460467,1605256,,534767,131935,8278549,414118,476986,1075435
2003-01-01,65720770,76129947,711010,336821,1341666,12085267,473143,247009,6143,266685,522270,,6332087,13766,3052669,422255,2105848,173972,983785,268633,10215069,732798,493355,1366044
2004-01-01,90553579,108417315,1073498,504638,2498293,17961825,817177,479533,19401,417917,887501,,9617665,,4522413,640001,3393595,657961,1560560,571266,15927008,1304461,830548,2153584
2005-01-01,86900681,97929882,1041036,524423,2339417,18425393,643800,224678,18703,259945,911363,,8187792,,3572605,901930,3044056,641350,1522625,230879,17334628,1262196,649358,1862017
2006-01-01,98735532,110538153,994878,608055,2956237,21226815,852035,99048,12903,431753,1039701,1118,8793408,151015,4138959,689835,3452665,543882,1580715,294922,20877374,1464900,885634,2131652
2007-01-01,110119381,130396650,1224792,618896,3071981,23740234,1254418,179570,26131,669711,1046713,4266,10534400,1036649,5001127,1495736,4149713,618803,1696981,323272,23281049,1483548,1032295,2038455
2008-01-01,130117559,162272068,1426884,970691,2782562,29532959,2176668,218786,6867,599460,1241466,807,13372274,931808,6350587,999549,5451728,1268996,2074127,400362,27482670,1155258,1340573,3398361
2009-01-01,142676478,187312489,1670279,2134216,3832713,38068783,2912023,455966,116548,701505,1483332,,15203629,1488164,7829624,866780,6255938,1615523,2557368,541644,36902689,1942604,1493566,3504047
2010-01-01,184242658,290374968,2282838,3307871,5140437,51998379,4662855,647432,707917,1317793,2158696,7544,25252082,2397287,11583543,1064804,9913606,1680961,4248758,851675,52053778,2908504,3302713,8617930
2011-01-01,247655192,412545892,4596567,6079341,9729082,76161042,7879351,1307029,1312606,2665490,5063278,31892,37753045,2983379,18374710,738200,15965670,6855872,6592970,1300290,76325519,2380607,4888847,10540777
2012-01-01,321570235,563603767,5571266,7980592,13359104,106158502,10082592,1941900,2148540,3036995,5965442,6075190,51277095,5146265,24456225,4113408,21873354,9463865,8357135,1422525,98115041,3391575,5987287,16272878
2013-01-01,391997983,726959215,7510028,9394577,14896831,136860584,13227132,5920739,1809929,4183086,8230967,7469691,74804238,7052541,35898828,5677227,26836572,15288189,10332910,2370499,136120340,7011658,8729651,24790430
2014-01-01,480460688,861613300,8721729,11038718,18613410,155736245,16749350,7107108,905120,7695843,8910788,8750815,89850760,7778293,47832350,5633226,32755043,16913115,12851158,4794684,164336967,8250495,11383044,28941891
2015-01-01,678099220,1370241145,14866268,18818679,33237354,243654268,30387340,26504271,4475567,9805400,16090314,17130008,143049297,13429680,77903335,14809166,50198721,29390160,23740543,11927155,256617639,16626644,17721091,55321822
2016-01-01,858295691,1721215468,17361918,25569165,38332353,294273257,34620435,36340858,6317287,15004730,22013118,17002959,164416167,17069252,101205309,21034792,71158530,33819760,26619192,17352499,309948192,23685159,23367583,62105203
2017-01-01,997314761,2143728451,24906141,37608445,43823325,364663269,47237440,37631152,6970140,18017701,24909770,22261504,192476273,26390564,120469471,35034575,92550092,47189712,35983930,23236885,370079153,29582126,27033908,82295586
2018-01-01,1190317663,2396298874,25749185,43144607,49594693,409053970,53934351,44584293,11824330,20990318,26614422,22086529,210473312,28967072,141751303,39072034,101842059,59836590,42618581,25408745,406183906,31973292,28681173,95904067
2019-01-01,1820497873,3679007011,41548452,61646606,81649022,624728538,76201946,68183956,17226170,36351361,43909472,36718784,363349974,44054240,257620730,59984219,166007079,90871208,61548603,41284419,602824718,49075486,41557460,143923738
2020-01-01,437845254,855642210,9343388,13649700,19024308,140977230,17781986,14362436,2211470,7604577,10792709,8142334,76648853,9201478,54571702,10990483,41621955,19678614,13220235,8092970,136527571,9824847,7780413,30183540
2021-01-01,1033802895,2539370383,27745821,49294808,68411614,376704988,56071682,35976842,0,33160500,28745341,27644255,233522501,36732906,181313933,37071821,156478798,70172785,49377144,15844260,348311251,37964119,41388873,101806667
2022-01-01,3912947893,9075930906,102782419,153811772,214180381,1416618484,175623264,158107267,0,83187050,99757852,82853701,845620215,134078596,619808094,142713079,463729295,197848930,159384831,103556840,1419283829,105191043,115094857,320219532
2023-01-01,11099684036,24358336650,273445933,373743042,538793551,3768795739,423404867,407171690,111616400,207063350,235424096,206239048,2130029118,346027515,1651130176,273825881,1343692304,498403814,365590180,282925000,3559865562,265161430,254010593,776780173
