indice_tiempo,espect_distribuidoras_nacionales,espect_distribuidoras_extranjeras
2000-01-01,0.11,0.89
2001-01-01,0.18,0.82
2002-01-01,0.18,0.82
2003-01-01,,
2004-01-01,0.14,0.86
2005-01-01,0.23,0.77
2006-01-01,0.24,0.76
2007-01-01,0.24,0.76
2008-01-01,0.25,0.75
2009-01-01,0.34,0.66
2010-01-01,0.20,0.80
2011-01-01,0.20,0.80
2012-01-01,0.19,0.81
2013-01-01,0.19,0.81
2014-01-01,0.22,0.78
2015-01-01,0.13,0.87
2016-01-01,0.10,0.90
2017-01-01,0.12,0.88
2018-01-01,0.10,0.90
2019-01-01,0.10,0.90
2020-01-01,0.09,0.91
2021-01-01,0.06,0.94
2022-01-01,0.10,0.90
2023-01-01,0.14,0.86
