dataset,titulo,prioridade_auditoria,resultado_auditoria,achado,acao,execucao,evidencia_final
ancine-obras-nao-publicitarias,Obras Nao Publicitarias,P1,Corrigir,Diferenças após normalização: titulo_original (1 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-diretores-obras,Diretores de Obras,P1,Corrigir,Diferenças após normalização: titulo_original (2 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-produtores-obras,Produtores de Obras,P1,Corrigir,Diferenças após normalização: titulo_original (2 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-bilheteria-consolidada,Bilheteria Consolidada,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-bilheteria-agregada-filme-ano,Bilheteria Agregada Filme x Ano,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-fsa-projetos,Projetos FSA,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-renuncia-fiscal,Renuncia Fiscal,P0,Corrigir,"Todos os 18 campos monetários estão nulos nas 4.215 linhas tratadas, incluindo total_captado. O CSV preserva os valores com prefixo R$.","Remover R$ antes da conversão, preservar zeros, reprocessar e reconciliar os 18 campos com o bruto antes de republicar.",Concluído,18 campos monetários reprocessados; reconciliação e teste de regressão aprovados.
ancine-condecine-arrecadacao,CONDECINE - Arrecadacao,P1,Corrigir,Séries anuais e mensais coexistem na mesma tabela. A soma indiscriminada pode contar o mesmo período duas vezes.,Separar anual de mensal; explicitar categorias e totais. Validar total mensal x anual por exercício.,Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-condecine-recolhimento,CONDECINE - Recolhimento por Mecanismo e Contribuinte,P1,Corrigir,"7 arquivos de origem, com totais por mecanismo e recortes por contribuinte, são reunidos numa tabela.",Separar totais por mecanismo e detalhes por empresa; conservar contribuinte e o dispositivo legal de cada recurso.,Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-fomento-fluxos-financeiros,Fomento - Series Historicas Agregadas (OCA),P1,Corrigir,"326 linhas misturam captado, liberado e valores de editais/programas/prêmios.","Separar as 3 séries em recursos e cartões próprios com métrica, moeda, período e unidade claros.",Concluído,Séries do OCA separadas por conceito; o rótulo publicado é Valores Captados/Contratados por Mecanismo.
ancine-ibermedia-projetos,Ibermedia - Projetos Contemplados,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-coproducao-internacional-projetos,Coproducao Internacional - Projetos Contemplados,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-apoio-festivais-internacionais,Apoio a Festivais Internacionais - Contemplados,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-premio-adicional-renda,Premio Adicional de Renda (PAR),P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-filmes-lancados-captacao,Filmes Lancados com Valores Captados (serie historica),P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-captacao-por-projeto-investidor,Captacao por Projeto Incentivado e por Investidor,P0,Corrigir,150.917 linhas combinam 3 fontes. CNPJ do proponente e do investidor estão inteiramente nulos; a origem contém identificadores e nomes.,"Criar 3 conjuntos: captação por projeto; captação por projeto e investidor; aportes por investidor. Recuperar identificadores, datas, UFs e nomes; reconciliar valores por fonte.",Concluído,"Três fontes separadas em três recursos homogêneos, com identificadores e valores reconciliados."
ancine-agentes-economicos,Agentes Economicos,P1,Atualizar,Fonte atual: 18962 registros. Bruto RIDAB: 18616.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-preco-medio-ingresso,Preco Medio do Ingresso,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
